STRATO	N	M1	M2	M3	M4	S1	S2	S3	S4	COST	CENS	DOM1	X1	X2	X3	X4	X5	X6
1*1*1*1*1*1	184	48.3152173913044	49.4021739130435	61.4402173913044	28.4076086956522	26.8153627884181	28.4983065029305	32.6306189889943	14.6392172344762	1	0	1	1	1	1	1	1	1
1*1*1*1*1*2	1	98	106	116	43	0	0	0	0	1	0	1	1	1	1	1	1	2
1*1*1*2*1*1	2	57	64	70	50	4	0	1	15	1	0	1	1	1	1	2	1	1
1*1*2*1*1*1	11	77.7272727272727	81.1818181818182	92.3636363636364	47	15.249983064616	18.6976818291767	17.0308422215949	11.1273618534755	1	0	1	1	1	2	1	1	1
1*2*1*1*1*1	9	58.2222222222222	61.5555555555556	66.7777777777778	36.2222222222222	25.4636026855666	20.2710034346333	24.8988075474299	15.4975107519296	1	0	1	1	2	1	1	1	1
1*2*1*2*1*1	8	61	68	84.625	58.375	24.5662369930765	19.4807597387782	26.3530714528686	26.5562492645328	1	0	1	1	2	1	2	1	1
1*2*1*3*1*1	1	48	70	63	31	0	0	0	0	1	0	1	1	2	1	3	1	1
1*2*2*1*1*1	1	90	80	99	59	0	0	0	0	1	0	1	1	2	2	1	1	1
1*3*1*2*1*1	1	20	23	23	12	0	0	0	0	1	0	1	1	3	1	2	1	1
10*1*1*1*1*1	1	1686	2174	2397	964	0	0	0	0	1	0	1	10	1	1	1	1	1
10*1*1*1*1*2	1	1980	2379	2474	665	0	0	0	0	1	0	1	10	1	1	1	1	2
10*1*1*1*2*1	3	2006.33333333333	2198.66666666667	2847.33333333333	1121.66666666667	277.407442021459	88.2131257554994	131.621511244258	121.205977117009	1	0	1	10	1	1	1	2	1
10*1*2*1*2*1	1	1800	2001	3045	1424	0	0	0	0	1	0	1	10	1	2	1	2	1
10*1*3*1*2*2	1	1724	2089	2261	1220	0	0	0	0	1	0	1	10	1	3	1	2	2
10*2*1*2*2*1	1	1811	2013	2488	1203	0	0	0	0	1	0	1	10	2	1	2	2	1
10*2*2*1*2*3	1	2088	2182	2449	1236	0	0	0	0	1	0	1	10	2	2	1	2	3
11*1*1*1*2*1	4	2312	2732.25	3448.25	1820.75	353.331996852818	394.992009412849	8.78564169540279	392.040415646142	1	0	1	11	1	1	1	2	1
11*1*1*1*2*2	1	2320	3548	3309	1050	0	0	0	0	1	0	1	11	1	1	1	2	2
11*1*2*1*2*1	1	2203	2551	3176	1146	0	0	0	0	1	0	1	11	1	2	1	2	1
11*1*2*1*2*2	1	2716	3418	2923	606	0	0	0	0	1	0	1	11	1	2	1	2	2
11*2*1*1*2*2	1	2836	3353	3692	1709	0	0	0	0	1	0	1	11	2	1	1	2	2
12*1*1*1*2*1	1	3057	3156	4116	1812	0	0	0	0	1	0	1	12	1	1	1	2	1
12*1*1*1*2*2	1	2940	4388	4408	2418	0	0	0	0	1	0	1	12	1	1	1	2	2
12*1*2*1*2*3	1	3156	3943	4918	2300	0	0	0	0	1	0	1	12	1	2	1	2	3
