STRATO	M1	M2	M3	M4	S1	S2	S3	S4	N	DOM1	COST	CENS	SOLUZ
1	123.6171875	137.4375	166.640625	71.5078125	235.383786394485	285.070871982335	345.520889278227	148.158857311298	256	1	1	0	13.7063658192354
2	138.755102040816	145.091836734694	180.887755102041	76.3163265306123	115.683342376727	144.135045149683	172.340443181569	77.4061629393282	98	1	1	0	2.59175669002832
3	470.969696969697	547.454545454545	613.939393939394	248.878787878788	424.780419916499	522.730599795443	550.624256460333	215.91586973498	33	1	1	0	3.06749596250125
4	1077.35294117647	1185.41176470588	1395.52941176471	552.588235294118	632.70220232066	674.734678229438	856.183359813699	328.038626783868	17	1	1	0	2.38363570431957
5	2089.27272727273	2599.36363636364	2918.36363636364	1309.81818181818	673.354876165754	1014.21549879494	982.430259285362	653.977338282913	11	1	1	0	2
6	607.84375	647.90625	812.1875	353.3125	664.527301268701	715.391257103593	883.703547861766	407.37044368169	32	1	1	0	4.6880207906278
7	363.621052631579	391.821052631579	477.473684210526	188.810526315789	218.621153125447	272.170898973602	274.55860542644	122.428576790459	95	1	1	0	4.50497930030884
1	67.3501945525292	68.0000000000001	80.1634241245137	36.9844357976654	68.798180708656	67.5810696386308	79.6556992504812	41.2775811476315	257	2	1	0	2.02731686555034
2	220.347826086957	226.173913043478	306.521739130435	154.608695652174	414.74379942555	471.237092644161	655.739273238246	337.735003273962	23	2	1	0	2
3	788.111111111111	974.916666666667	1134.25	554.333333333333	789.743587709772	1022.64425927031	1186.00429844906	606.914276749069	36	2	1	0	4.0521959913575
4	1985.35294117647	2463.23529411765	2908.29411764706	1431.58823529412	736.731141625199	922.118837029154	1182.82788521569	658.701824391251	17	2	1	0	2
5	132.561151079137	138.302158273381	167.942446043166	74.3884892086331	30.1595051093519	34.2077540467701	40.8008780470468	25.8254701904895	139	2	1	0	2
6	238.924528301887	256.295597484277	301.207547169811	134.081761006289	169.882307069669	198.432512163599	237.221448197233	108.971503842012	159	2	1	0	3.61603781781577
7	311.857142857143	338.428571428571	461.714285714286	224.285714285714	70.1285015859735	51.1405825511743	89.1507059273618	43.9900452560878	7	2	1	0	2
8	595.602272727273	675.602272727273	808.397727272728	387.5	260.249806842616	324.584314638442	378.210079448657	207.393817074925	88	2	1	0	3.1726799364657
9	382.493333333333	399.96	483.04	209.8	65.4384096276174	79.2290209310873	78.9696450165338	60.0102767609745	75	2	1	0	2
10	736.666666666667	843.5	1019.5	485.75	240.183920868199	322.223481798304	364.005631188636	236.265343961406	12	2	1	0	2
11	763	863.541666666667	1055.95833333333	475.208333333333	141.040713372152	146.064041075732	183.217836297891	93.2632727819921	24	2	1	0	2
12	926	1022	1289	928	0	0	0	0	1	2	1	0	1
13	1240.5	1472	1724.16666666667	748	70.3242490183862	108.925433210063	100.083784345362	131.114652435696	6	2	1	0	2
1	440.129032258064	525.064516129032	608.241935483871	277.483870967742	577.499108751311	743.724660835226	832.104454840156	424.482675391884	62	3	1	0	8.37116920055115
2	1634	2437	2655	887	0	0	0	0	1	3	1	0	1
3	1367.5	1805	2070	966.5	257.5	382	469	243.5	2	3	1	0	2
4	1885	2312	3027	1210	0	0	0	0	1	3	1	0	1
5	618.2	695.76	830.4	350.84	293.467338330293	327.406844932481	388.469570881986	205.296103960194	25	3	1	0	2
6	1960.66666666667	2517.16666666667	2953.5	1352.61111111111	520.736454693651	745.076870671662	911.27083373024	570.139333468496	18	3	1	0	2.19477004734869
7	1960	2653	2954.5	1410	821	1279	1198.5	654	2	3	1	0	2
8	262.992647058824	278.860294117647	340.977941176471	117.242647058824	107.842469116665	117.349052571385	143.507112996219	59.3468168426749	136	3	1	0	3.42742950060356
9	485.820512820513	540.282051282051	653.410256410256	238.74358974359	235.157617034799	311.29717457627	384.220883926136	128.187036135087	39	3	1	0	2.14615654779481
10	871.875	1033.5	1267.4375	443.625	138.25847648316	188.932077374677	212.573728182001	98.9139149434721	16	3	1	0	2
11	994.625	1141.375	1396.375	559.25	109.625680981034	155.702691450726	296.064671871797	177.162011933208	8	3	1	0	2
12	1034	1187	1284	523	0	0	0	0	1	3	1	0	1
1	81.5	86.5	94.5	46	3.18198051533946	2.47487373415292	13.0814754519511	9.89949493661167	2	4	1	0	2
2	1332.925	1649.975	2041.85	798.675	394.596759034645	586.372911151113	684.494017101674	456.991304078381	40	4	1	0	2.13776400917684
3	2155.07692307692	2996	3502.53846153846	1520.15384615385	629.051973296707	1085.4043497997	1019.4920401299	630.791254436236	13	4	1	0	2
4	608.139534883721	706.953488372093	881.744186046512	284.720930232558	468.157240715686	629.248991790695	695.515072181643	253.626722993665	43	4	1	0	2.72650391257346
5	383.8	426.545454545455	532.745454545455	178.054545454546	297.070351539355	385.325245852807	446.243012817784	154.337673183274	55	4	1	0	2.21293136802413
1	128.456953642384	122.940397350993	153.430463576159	73.9470198675496	166.949917086022	168.636176960438	205.33328907765	99.0645735265798	151	5	1	0	5.55515962252286
2	459.333333333333	512.166666666667	567.380952380952	240.904761904762	578.975402059954	681.839168638632	753.584489856487	371.871015714943	42	5	1	0	5.67073017621694
3	270.615384615385	262.861538461539	313.169230769231	141.815384615385	179.182543862732	182.034113667918	209.376162617259	104.10402143459	65	5	1	0	2.43839091367487
4	1609.52380952381	1871.38095238095	2063.28571428571	999.238095238095	812.783418677136	972.004192300028	1070.98693869939	564.178054494405	21	5	1	0	4.02958857640661
5	530.377777777778	590.488888888889	668.244444444445	296.333333333333	417.786834942538	486.184148742367	529.516273080243	226.864911188728	45	5	1	0	4.26924128375018
6	127.8	116.666666666667	160.266666666667	95.1333333333333	33.1022389306557	37.6894129942594	41.6555754126979	24.8666011318767	15	5	1	0	2
7	902.027777777777	924.111111111111	1049.88888888889	449.055555555556	288.247687601814	284.39292848111	384.771451200293	208.751599931853	36	5	1	0	2.48177303439331
8	788	898.666666666667	1009.33333333333	463.166666666667	170.334377035289	110.878832766022	138.374114470719	46.202224573667	6	5	1	0	2
1	198.690476190476	213.785714285714	210.333333333333	95.8095238095238	177.441287874864	243.582965647451	247.899426637439	134.848030231769	42	6	1	0	2
2	1192.33333333333	1456.33333333333	1696.66666666667	618.333333333333	892.170511854221	1179.0024974057	1197.99731032902	440.004797953638	3	6	1	0	2
3	1881.66666666667	2293.88888888889	2504.66666666667	1089.88888888889	457.239998979384	390.287449464976	500.935513703	302.597714041613	9	6	1	0	2
4	1568	1977	2122.57142857143	806.571428571429	912.627212267653	1391.95843534004	1509.69890395809	654.213345966602	7	6	1	0	2
5	719.46	788.72	836.04	323.26	335.919867576409	384.937908001771	453.997486261734	198.265610961653	50	6	1	0	4.09914588325519
6	417.48	430.96	443.32	179.76	242.666827493032	276.26059524361	300.777779259281	128.891575901305	25	6	1	0	2
1	65.7032967032969	85.8021978021979	114.21978021978	57.0439560439561	47.7709643838139	63.2368584020495	80.9515599282186	38.3959842411075	91	7	1	0	3.6206719937594
2	568	820	1151.5	708.5	558	803	1126.5	692.5	2	7	1	0	2
