STRATO	M1	M2	M3	M4	S1	S2	S3	S4	N	DOM1	COST	CENS	SOLUZ
1	71.5925925925927	72.1481481481481	87.5277777777778	43.0092592592593	56.7805345239614	91.5986526374322	83.4780182850887	29.7978763983665	108	5	1	0	2
2	312.885714285714	308.6	355.571428571428	150.628571428571	358.869352847225	363.796983399856	456.808882167031	156.290906476864	35	5	1	0	2.81904110275545
3	303.488888888889	322.666666666667	391.2	180.355555555556	332.013443411573	380.670341993106	447.838900438459	194.034811993704	45	5	1	0	3.5533104457664
4	145.275	150.775	194.875	100.25	159.896337295623	179.435832580588	208.655293386804	106.682275550659	40	5	1	0	2
5	704.904761904762	839.523809523809	885.761904761905	392.047619047619	384.830245115114	653.159670057398	605.1984991892	378.826898532061	21	5	1	0	2.24086638087863
6	1777	1945.75	2140.75	894	384.305786451362	480.633111114913	541.667275640683	325.832779198165	4	5	1	0	2
7	2228.66666666667	2658.16666666667	3013.5	1549	154.233093797091	246.68462772446	174.20131234357	251.709847288941	6	5	1	0	2
8	661.9375	711.8125	843.25	426.75	738.716526772674	857.024099749875	959.521222443487	532.802890578057	16	5	1	0	2.70690735098315
9	548.333333333334	523.055555555555	601.111111111111	244.666666666666	733.271457658952	770.86041017509	858.692987576806	369.911912770969	18	5	1	0	2.7252681801039
10	366	386.4	441.6	175.4	396.187767275537	477.045331350455	542.163273848574	217.447922923337	10	5	1	0	2
11	296.666666666667	406.5	448.333333333333	182.5	277.207432990801	533.303617034787	531.360761873945	194.186434642528	12	5	1	0	2
12	734.75	755.8125	846.145833333333	373.145833333333	388.82593345316	393.683416243847	452.122184332928	202.22749057947	48	5	1	0	3.82644855322447
13	848.466666666667	853.666666666667	990.733333333333	445.666666666667	129.196797292176	123.15098005655	87.0494335931538	108.719254913235	15	5	1	0	2
14	1318	1435.33333333333	1628	758.333333333333	130.414723095209	53.3180533667051	37.1662929727103	18.6944238071538	3	5	1	0	2
