DOMAINVALUE,STRATUM,PROGR,REG,X1,X2,X3,X4,X5,X6,ID,Y1,Y2,Y3,Y4,LABEL,STRATO,WEIGHTS
1,1*1*1*1*1*1,2860,1,1,1,1,1,1,1,Ausserbinn,13,9,18,7,1,1,47
1,1*1*1*1*1*1,2252,1,1,1,1,1,1,1,Epesses,84,86,95,43,1,1,47
1,1*1*1*1*1*1,2573,1,1,1,1,1,1,1,Dizy,54,53,39,24,1,1,47
1,1*1*1*1*1*1,2798,1,1,1,1,1,1,1,La Rogivue,18,21,23,10,1,1,47
1,10*2*2*1*2*3,162,1,10,2,2,1,2,3,Aigle,2088,2182,2449,1236,2,2,1
1,1*1*1*1*1*2,2126,1,1,1,1,1,1,2,Aclens,98,106,116,43,2,2,1
1,1*1*1*2*1*1,2346,1,1,1,1,2,1,1,Albinen,61,64,71,65,3,3,1
1,1*1*1*2*1*1,2451,1,1,1,1,2,1,1,Ulrichen,53,64,69,35,3,3,1
1,3*2*1*1*1*1,1514,1,3,2,1,1,1,1,Sembrancher,228,203,218,143,4,4,17
1,1*2*1*1*1*1,2437,1,1,2,1,1,1,1,Eisten,60,62,65,39,4,4,17
1,2*2*1*1*1*1,1642,1,2,2,1,1,1,1,Burchen,171,184,207,110,5,5,15.5
1,9*2*2*1*2*3,253,1,9,2,2,1,2,3,Collombey-Muraz,1642,1799,1779,475,5,5,15.5
1,1*2*1*3*1*1,2465,1,1,2,1,3,1,1,Bourg-Saint-Pierre,48,70,63,31,6,6,1.5
1,12*1*1*1*2*2,70,1,12,1,1,1,2,2,Morges,2940,4388,4408,2418,6,6,1.5
1,4*1*1*1*1*1,1024,1,4,1,1,1,1,1,Froideville,392,370,562,129,7,7,9.5
1,4*1*1*1*1*1,1006,1,4,1,1,1,1,1,Chippis,380,414,472,225,7,7,9.5
1,11*1*1*1*2*2,119,1,11,1,1,1,2,2,Ecublens (VD),2320,3548,3309,1050,8,8,3.5
1,10*1*1*1*2*1,160,1,10,1,1,1,2,1,Le Grand-Saconnex,1830,2265,2925,1094,8,8,3.5
1,10*1*1*1*1*2,177,1,10,1,1,1,1,2,Bussigny-pres-Lausanne,1980,2379,2474,665,9,9,1
1,10*1*2*1*2*1,158,1,10,1,2,1,2,1,Lutry,1800,2001,3045,1424,10,10,2
1,9*1*1*1*1*1,239,1,9,1,1,1,1,1,Chavannes-pres-Renens,1434,2314,1751,564,10,10,2
1,10*2*1*2*2*1,176,1,10,2,1,2,2,1,Naters,1811,2013,2488,1203,11,11,1
1,11*1*1*1*2*1,116,1,11,1,1,1,2,1,Versoix,2914,2785,3451,1159,12,12,3.75
1,5*1*1*1*2*1,697,1,5,1,1,1,2,1,Vandoeuvres,669,505,804,355,12,12,3.75
1,4*2*2*2*1*1,1067,1,4,2,2,2,1,1,Visperterminen,329,385,434,209,12,12,3.75
1,13*1*1*1*2*1,48,1,13,1,1,1,2,1,Onex,3716,4854,5449,2400,12,12,3.75
1,7*2*1*2*1*2,376,1,7,2,1,2,1,2,Villeneuve (VD),1021,1121,1377,661,13,13,1
1,11*1*2*1*2*1,139,1,11,1,2,1,2,1,Bernex,2203,2551,3176,1146,13,13,1
1,12*1*1*1*2*1,87,1,12,1,1,1,2,1,Thonex,3057,3156,4116,1812,14,14,1
1,12*2*2*1*2*3,67,1,12,2,2,1,2,3,Martigny,3419,4288,4522,2132,14,14,1
1,14*1*1*1*2*2,22,1,14,1,1,1,2,2,Lancy,5797,7681,8429,3781,15,15,2.5
1,13*1*1*1*2*2,34,1,13,1,1,1,2,2,Renens (VD),4116,6224,5696,2370,15,15,2.5
1,6*1*3*1*1*2,650,1,6,1,3,1,1,2,Avenches,627,706,828,383,16,16,1
1,13*1*2*1*2*2,31,1,13,1,2,1,2,2,Meyrin,4424,5800,7121,2203,16,16,1
1,14*1*2*1*2*2,24,1,14,1,2,1,2,2,Yverdon-les-Bains,5796,7279,7126,4175,17,17,1
1,17*1*1*1*3*2,2,1,17,1,1,1,3,2,Geneve,32429,60074,57063,28398,18,18,1
1,14*1*3*1*2*3,19,1,14,1,3,1,2,3,Sion,6732,7998,8492,3949,18,18,1
1,14*2*1*1*2*1,26,1,14,2,1,1,2,1,Montreux,4790,6615,6931,4118,19,19,1
1,4*3*2*2*2*1,1102,1,4,3,2,2,2,1,Ormont-Dessus,243,322,450,292,19,19,1
1,17*2*2*1*3*2,5,1,17,2,2,1,3,2,Lausanne,24291,44202,35421,21000,20,20,1
1,2*1*1*1*1*1,2091,1,2,1,1,1,1,1,Eggerberg,105,100,122,55,21,21,56.5
1,2*1*1*1*1*1,2044,1,2,1,1,1,1,1,Randa,112,123,118,51,21,21,56.5
1,2*1*2*1*1*1,1683,1,2,1,2,1,1,1,Noville,166,182,214,85,22,22,16.3333333333333
1,4*2*1*2*1*1,947,1,4,2,1,2,1,1,Saint-Cergue,422,420,571,188,22,22,16.3333333333333
1,2*1*2*1*1*1,2027,1,2,1,2,1,1,1,Saint-Cierges,116,111,129,55,22,22,16.3333333333333
1,7*1*1*1*1*1,387,1,7,1,1,1,1,1,Preverenges,928,1273,1481,396,23,23,10.5
1,7*1*1*1*1*1,370,1,7,1,1,1,1,1,Rolle,1260,1148,1225,602,23,23,10.5
1,3*1*2*1*1*1,1393,1,3,1,2,1,1,1,Bottens,230,279,300,108,24,24,4.5
1,3*1*2*1*1*1,1483,1,3,1,2,1,1,1,Pampigny,277,228,240,83,24,24,4.5
1,3*2*1*1*2*1,1330,1,3,2,1,1,2,1,Gryon,212,234,353,194,25,25,9.5
1,4*1*2*1*1*1,902,1,4,1,2,1,1,1,La Sarraz,435,514,545,234,25,25,9.5
1,4*1*2*1*1*2,932,1,4,1,2,1,1,2,Corcelles-pres-Payerne,412,492,515,225,26,26,2.5
1,3*2*2*2*1*1,1414,1,3,2,2,2,1,1,Rougemont,168,213,302,218,26,26,2.5
1,5*1*2*1*1*1,715,1,5,1,2,1,1,1,Yvonand,617,613,694,354,27,27,3.5
1,9*3*3*2*2*2,243,1,9,3,3,2,2,2,Bex,1520,1538,1922,993,27,27,3.5
1,5*2*1*1*1*1,758,1,5,2,1,1,1,1,Leytron,447,577,722,382,28,28,12
1,5*2*1*1*1*1,847,1,5,2,1,1,1,1,Grone,469,507,602,288,28,28,12
1,7*3*2*2*2*1,362,1,7,3,2,2,2,1,Le Chenit,993,1054,1340,910,29,29,2.5
1,7*3*2*2*2*1,358,1,7,3,2,2,2,1,Sainte-Croix,940,936,1339,1118,29,29,2.5
1,5*3*1*2*1*1,861,1,5,3,1,2,1,1,Arzier,534,425,669,183,30,30,1
1,5*3*1*2*1*1,705,1,5,3,1,2,1,1,St.Niklaus,600,670,679,355,30,30,1
1,6*1*2*1*1*1,639,1,6,1,2,1,1,1,Chardonne,532,767,816,486,31,31,3
1,6*1*2*1*1*1,645,1,6,1,2,1,1,1,Aubonne,600,738,840,392,31,31,3
1,6*2*2*1*1*2,488,1,6,2,2,1,1,2,Saxon,774,923,1070,545,32,32,1
1,6*2*2*2*1*2,554,1,6,2,2,2,1,2,Vouvry,797,780,938,445,33,33,1
1,8*1*1*1*2*1,326,1,8,1,1,1,2,1,Cologny,1140,1062,1701,794,34,34,1
1,9*1*1*1*2*2,201,1,9,1,1,1,2,2,Plan-les-Ouates,1903,1867,2314,720,35,35,1
1,9*3*2*3*2*1,213,1,9,3,2,3,2,1,Bagnes,1449,2076,1995,1016,36,36,1
2,1*1*1*1*1*1,2141,2,1,1,1,1,1,1,Villariaz,125,86,106,40,1,1,25.3333333333333
2,1*1*1*1*1*1,2508,2,1,1,1,1,1,1,Balm bei Gunsberg,49,43,87,17,1,1,25.3333333333333
2,1*1*1*1*1*1,2619,2,1,1,1,1,1,1,Champoz,56,38,43,14,1,1,25.3333333333333
2,1*1*1*1*1*1,2548,2,1,1,1,1,1,1,Aetigkofen,52,47,57,23,1,1,25.3333333333333
2,3*1*1*1*1*1,1550,2,3,1,1,1,1,1,Feldbrunnen-St.Niklaus,140,173,278,165,1,1,25.3333333333333
2,1*1*1*1*1*1,2392,2,1,1,1,1,1,1,Progens,72,78,72,23,1,1,25.3333333333333
2,1*1*1*1*1*1,2327,2,1,1,1,1,1,1,Vallon,74,78,76,39,1,1,25.3333333333333
2,3*1*1*1*1*1,1454,2,3,1,1,1,1,1,Twann,194,203,334,134,1,1,25.3333333333333
2,1*1*1*1*1*1,2155,2,1,1,1,1,1,1,Schalunen,93,114,108,35,1,1,25.3333333333333
2,1*1*1*1*1*1,2300,2,1,1,1,1,1,1,La Corbaz,94,81,85,21,1,1,25.3333333333333
2,1*1*1*1*1*1,2766,2,1,1,1,1,1,1,Deisswil bei Munchenbuchsee,23,29,23,12,1,1,25.3333333333333
2,3*1*1*1*1*1,1320,2,3,1,1,1,1,1,Flumenthal,229,310,340,127,1,1,25.3333333333333
2,1*1*2*1*1*1,2198,2,1,1,2,1,1,1,Le Chatelard,88,96,87,61,2,2,3
2,1*1*2*1*1*1,2206,2,1,1,2,1,1,1,Grandfontaine,90,73,114,53,2,2,3
2,5*1*2*1*1*2,667,2,5,1,2,1,1,2,Courrendlin,632,728,750,325,3,3,8.6
2,3*2*2*2*1*1,1313,2,3,2,2,2,1,1,Semsales,240,286,333,160,3,3,8.6
2,3*2*2*2*1*1,1513,2,3,2,2,2,1,1,Lauenen,206,214,231,143,3,3,8.6
2,5*1*2*1*1*1,750,2,5,1,2,1,1,1,Riggisberg,496,532,714,420,3,3,8.6
2,1*2*1*1*1*1,2773,2,1,2,1,1,1,1,Gansbrunnen,22,25,24,13,3,3,8.6
2,9*1*2*1*2*2,252,2,9,1,2,1,2,2,Uetendorf,1409,1512,2012,769,4,4,3.25
2,6*1*1*1*1*1,587,2,6,1,1,1,1,1,Port,568,670,1057,504,4,4,3.25
2,1*2*1*2*1*1,2445,2,1,2,1,2,1,1,Horrenbach-Buchen,62,48,70,42,4,4,3.25
2,1*2*1*2*1*1,2209,2,1,2,1,2,1,1,Guttannen,78,71,122,57,4,4,3.25
2,6*1*1*1*1*1,510,2,6,1,1,1,1,1,Grosshochstetten,845,829,1053,469,4,4,3.25
2,6*1*1*1*1*1,477,2,6,1,1,1,1,1,Langendorf,702,903,1093,702,4,4,3.25
2,1*2*2*1*1*1,2246,2,1,2,2,1,1,1,Beinwil (SO),86,80,112,33,4,4,3.25
2,1*2*1*2*1*1,2371,2,1,2,1,2,1,1,Montbovon,65,39,81,67,4,4,3.25
2,6*1*1*1*1*2,501,2,6,1,1,1,1,2,Breitenbach,809,896,1060,495,5,5,5
2,9*1*3*1*2*2,205,2,9,1,3,1,2,2,Dudingen,1600,2048,2266,798,5,5,5
2,5*1*1*1*1*1,839,2,5,1,1,1,1,1,Wangen an der Aare,453,534,592,310,6,6,21.6666666666667
2,5*1*1*1*1*1,731,2,5,1,1,1,1,1,Belfaux,604,700,669,241,6,6,21.6666666666667
2,5*1*1*1*1*1,882,2,5,1,1,1,1,1,Safnern,441,435,645,258,6,6,21.6666666666667
2,4*3*2*2*1*1,935,2,4,3,2,2,1,1,Ruschegg,443,365,542,278,7,7,1
2,10*1*2*1*2*2,170,2,10,1,2,1,2,2,Biberist,1688,2139,2422,1354,7,7,1
2,11*1*1*1*2*2,102,2,11,1,1,1,2,2,Ittigen,2168,3066,4135,1622,8,8,5.5
2,11*1*2*1*2*2,133,2,11,1,2,1,2,2,Belp,2170,2561,3199,1263,8,8,5.5
2,11*2*2*1*2*2,110,2,11,2,2,1,2,2,Le Locle,2369,2678,3299,2183,9,9,2
2,13*1*1*1*2*2,59,2,13,1,1,1,2,2,Solothurn,2926,4512,4886,3165,9,9,2
2,12*1*2*1*2*2,68,2,12,1,2,1,2,2,Steffisburg,3081,4009,4644,2615,9,9,2
2,15*1*2*1*2*3,10,2,15,1,2,1,2,3,Thun,8128,11265,13301,7683,9,9,2
