DOMAINVALUE,STRATO,NH_FRAME,NH_STRATA,PLANNED_UNITS,SELECTED_UNITS,SUM_OF_WGTS
1,1,188,188,4,4,188
1,2,2,2,2,2,2
1,3,2,2,2,2,2
1,4,34,34,2,2,34
1,5,31,31,2,2,31
1,6,3,3,2,2,3
1,7,19,19,2,2,19
1,8,7,7,2,2,7
1,9,1,1,1,1,1
1,10,4,4,2,2,4
1,11,1,1,1,1,1
1,12,15,15,4,4,15
1,13,2,2,2,2,2
1,14,2,2,2,2,2
1,15,5,5,2,2,5
1,16,2,2,2,2,2
1,17,1,1,1,1,1
1,18,2,2,2,2,2
1,19,2,2,2,2,2
1,20,1,1,1,1,1
1,21,113,113,2,2,113
1,22,49,49,3,3,49
1,23,21,21,2,2,21
1,24,9,9,2,2,9
1,25,19,19,2,2,19
1,26,5,5,2,2,5
1,27,7,7,2,2,7
1,28,24,24,2,2,24
1,29,5,5,2,2,5
1,30,2,2,2,2,2
1,31,6,6,2,2,6
1,32,1,1,1,1,1
1,33,1,1,1,1,1
1,34,1,1,1,1,1
1,35,1,1,1,1,1
1,36,1,1,1,1,1
2,1,304,304,12,12,304
2,2,6,6,2,2,6
2,3,43,43,5,5,43
2,4,26,26,8,8,26
2,5,10,10,2,2,10
2,6,65,65,3,3,65
2,7,2,2,2,2,2
2,8,11,11,2,2,11
2,9,8,8,4,4,8
2,10,2,2,2,2,2
2,11,7,7,2,2,7
2,12,13,13,10,10,13
2,13,1,1,1,1,1
2,14,196,196,2,2,196
2,15,35,35,3,3,35
2,16,5,5,2,2,5
2,17,72,72,3,3,72
2,18,4,4,2,2,4
2,19,14,14,2,2,14
2,20,5,5,2,2,5
2,21,36,36,2,2,36
2,22,7,7,2,2,7
2,23,5,5,2,2,5
2,24,10,10,2,2,10
2,25,2,2,2,2,2
2,26,1,1,1,1,1
2,27,1,1,1,1,1
2,28,5,5,2,2,5
2,29,3,3,2,2,3
2,30,8,8,2,2,8
2,31,3,3,2,2,3
2,32,2,2,2,2,2
2,33,1,1,1,1,1
3,1,38,38,5,5,38
3,2,3,3,2,2,3
3,3,3,3,2,2,3
3,4,6,6,2,2,6
3,5,17,17,3,3,17
3,6,6,6,2,2,6
3,7,9,9,2,2,9
3,8,1,1,1,1,1
3,9,5,5,5,5,5
3,10,65,65,4,4,65
3,11,38,38,2,2,38
3,12,66,66,2,2,66
3,13,8,8,2,2,8
3,14,19,19,2,2,19
3,15,29,29,2,2,29
3,16,5,5,2,2,5
3,17,3,3,2,2,3
4,1,3,3,2,2,3
4,2,3,3,2,2,3
4,3,33,33,7,7,33
4,4,33,33,6,6,33
4,5,33,33,8,8,33
4,6,3,3,3,3,3
4,7,42,42,3,3,42
4,8,21,21,2,2,21
5,1,95,95,5,5,95
5,2,33,33,7,7,33
5,3,20,20,2,2,20
5,4,16,16,2,2,16
5,5,47,47,6,6,47
5,6,13,13,3,3,13
5,7,8,8,3,3,8
5,8,8,8,3,3,8
5,9,8,8,2,2,8
5,10,1,1,1,1,1
5,11,3,3,3,3,3
5,12,92,92,5,5,92
5,13,17,17,2,2,17
5,14,52,52,5,5,52
5,15,11,11,2,2,11
5,16,30,30,3,3,30
5,17,9,9,2,2,9
5,18,8,8,2,2,8
6,1,41,41,8,8,41
6,2,9,9,2,2,9
6,3,8,8,2,2,8
6,4,3,3,3,3,3
6,5,13,13,2,2,13
6,6,19,19,14,14,19
6,7,1,1,1,1,1
6,8,30,30,4,4,30
6,9,32,32,5,5,32
6,10,14,14,2,2,14
6,11,16,16,3,3,16
7,1,57,57,3,3,57
7,2,41,41,2,2,41
7,3,8,8,4,4,8
7,4,9,9,3,3,9
7,5,3,3,2,2,3
7,6,52,52,2,2,52
7,7,6,6,2,2,6
7,8,33,33,5,5,33
7,9,18,18,2,2,18
7,10,5,5,2,2,5
7,11,9,9,2,2,9
7,12,3,3,2,2,3
7,13,1,1,1,1,1
