DOM1	AGGR_STRATUM	X1	X2	X3	X4	X5	X6
1	1	1	1	1	1	1	1
1	1	1	3	1	2	1	1
1	1	3	1	1	1	1	2
1	1	6	2	2	2	2	1
1	1	9	3	2	2	2	2
1	2	1	1	1	1	1	2
1	2	10	2	2	1	2	3
1	3	1	1	1	2	1	1
1	4	1	1	2	1	1	1
1	4	1	2	1	1	1	1
1	4	3	2	1	1	1	1
1	4	4	3	1	2	1	1
1	4	6	1	3	1	1	3
1	4	8	2	2	2	2	1
1	4	9	1	1	1	1	2
1	5	1	2	1	2	1	1
1	5	2	2	1	1	1	1
1	5	2	2	2	1	1	1
1	5	6	1	2	1	1	2
1	5	6	2	1	1	2	1
1	5	6	2	2	1	1	1
1	5	6	3	2	1	1	1
1	5	7	1	1	1	1	2
1	5	9	2	2	1	2	3
1	6	1	2	1	3	1	1
1	6	7	2	2	1	2	1
1	6	12	1	1	1	2	2
1	7	1	2	2	1	1	1
1	7	4	1	1	1	1	1
1	8	9	1	1	1	2	1
1	8	10	1	1	1	1	1
1	8	10	1	1	1	2	1
1	8	11	1	1	1	2	2
1	8	11	1	2	1	2	2
1	9	10	1	1	1	1	2
1	10	9	1	1	1	1	1
1	10	9	2	1	1	1	3
1	10	10	1	2	1	2	1
1	10	10	1	3	1	2	2
1	11	10	2	1	2	2	1
1	12	3	3	1	2	1	1
1	12	4	2	2	2	1	1
1	12	5	1	1	1	2	1
1	12	9	3	3	2	2	1
1	12	11	1	1	1	2	1
1	12	11	2	1	1	2	2
1	12	12	1	2	1	2	3
1	12	12	2	1	1	2	3
1	12	13	1	1	1	2	1
1	13	7	2	1	2	1	2
1	13	11	1	2	1	2	1
1	14	12	1	1	1	2	1
1	14	12	2	2	1	2	3
1	15	13	1	1	1	1	2
1	15	13	1	1	1	2	2
1	15	14	1	1	1	2	2
1	16	6	1	3	1	1	2
1	16	13	1	2	1	2	2
1	17	14	1	2	1	2	2
1	18	14	1	3	1	2	3
1	18	17	1	1	1	3	2
1	19	4	3	2	2	2	1
1	19	14	2	1	1	2	1
1	20	17	2	2	1	3	2
1	21	2	1	1	1	1	1
1	21	3	1	1	1	1	1
1	21	6	3	3	3	2	1
1	22	2	1	1	2	1	1
1	22	2	1	2	1	1	1
1	22	2	2	1	2	1	1
1	22	4	2	1	2	1	1
1	22	5	1	1	1	1	2
1	22	5	1	3	1	1	2
1	22	6	1	1	1	2	1
1	22	7	1	2	1	1	2
1	23	2	2	2	2	1	1
1	23	3	1	1	2	1	1
1	23	3	2	2	1	1	1
1	23	6	1	1	1	1	1
1	23	7	1	1	1	1	1
1	23	7	1	2	1	1	1
1	23	8	1	2	1	2	2
1	23	8	2	1	1	2	1
1	23	9	2	1	3	1	1
1	24	3	1	2	1	1	1
1	24	4	1	1	1	1	2
1	25	3	2	1	1	2	1
1	25	3	2	1	2	1	1
1	25	3	3	2	2	1	1
1	25	4	1	2	1	1	1
1	25	4	2	1	1	1	1
1	25	4	3	1	1	1	1
1	25	6	2	1	1	1	1
1	25	8	2	2	1	1	1
1	26	3	2	2	2	1	1
1	26	4	1	2	1	1	2
1	26	7	1	1	1	2	1
1	26	8	1	2	1	1	2
1	26	8	3	2	2	2	1
1	27	4	1	1	2	1	1
1	27	4	1	3	1	1	1
1	27	4	2	2	1	1	1
1	27	4	3	2	3	1	1
1	27	5	1	2	1	1	1
1	27	9	3	3	2	2	2
1	28	5	1	1	1	1	1
1	28	5	2	1	1	1	1
1	28	5	2	2	1	1	1
1	29	5	2	2	1	2	1
1	29	6	3	2	2	2	1
1	29	7	3	2	2	2	1
1	30	5	3	1	2	1	1
1	31	6	1	2	1	1	1
1	31	6	1	2	1	2	1
1	32	6	2	2	1	1	2
1	33	6	2	2	2	1	2
1	34	8	1	1	1	2	1
1	35	9	1	1	1	2	2
1	36	9	3	2	3	2	1
2	1	1	1	1	1	1	1
2	1	3	1	1	1	1	1
2	1	4	2	2	2	1	1
2	1	7	1	2	1	1	2
2	1	9	3	3	3	2	1
2	1	10	1	1	1	2	2
2	1	10	2	1	1	2	2
2	2	1	1	2	1	1	1
2	2	5	3	2	3	1	1
2	3	1	2	1	1	1	1
2	3	3	2	2	2	1	1
2	3	4	3	3	1	1	1
2	3	5	1	2	1	1	1
2	3	5	1	2	1	1	2
2	3	6	2	2	1	2	1
2	3	6	3	2	3	2	1
2	3	7	2	2	1	1	1
2	3	13	1	1	1	2	3
2	4	1	2	1	2	1	1
2	4	1	2	2	1	1	1
2	4	6	1	1	1	1	1
2	4	9	1	2	1	2	2
2	4	9	2	3	1	2	2
2	4	15	1	1	1	2	2
2	5	1	3	1	2	1	1
2	5	5	3	3	2	2	1
2	5	6	1	1	1	1	2
2	5	9	1	3	1	2	2
2	5	10	2	3	1	2	1
2	5	11	1	3	1	2	1
2	6	4	1	2	1	1	1
2	6	5	1	1	1	1	1
2	6	5	2	2	2	1	1
2	6	10	1	1	1	1	2
2	7	4	3	2	2	1	1
2	7	10	1	2	1	2	2
2	8	2	3	1	2	1	1
2	8	6	2	2	2	2	1
2	8	11	1	1	1	2	2
2	8	11	1	2	1	2	2
2	8	11	3	3	1	2	2
2	9	11	2	2	1	2	2
2	9	12	1	2	1	2	2
2	9	13	1	1	1	2	2
2	9	13	2	2	1	2	2
2	9	15	1	2	1	2	3
2	9	15	2	3	2	2	2
2	10	2	2	2	2	1	1
2	10	12	1	1	1	2	1
2	11	6	2	3	1	1	1
2	11	12	2	1	1	2	2
2	12	2	2	3	2	1	1
2	12	2	3	2	2	1	1
2	12	3	3	1	2	1	1
2	12	4	2	3	1	1	1
2	12	5	2	3	1	1	1
2	12	7	3	2	3	2	1
2	12	8	2	1	1	1	1
2	12	12	2	2	1	2	3
2	12	13	1	1	1	2	1
2	12	15	2	1	1	2	2
2	12	15	2	1	1	2	3
2	12	15	2	3	1	2	2
2	13	17	2	3	1	3	3
2	14	2	1	1	1	1	1
2	14	2	1	2	1	1	1
2	14	2	2	2	1	1	1
2	14	3	1	3	1	1	1
2	14	3	2	1	1	1	1
2	15	2	2	1	1	1	1
2	15	2	2	3	1	1	1
2	15	3	2	2	1	1	1
2	15	5	1	3	1	1	1
2	15	5	2	2	1	1	1
2	15	7	2	2	3	2	1
2	15	7	2	3	1	2	1
2	15	8	1	1	1	2	2
2	15	8	1	2	1	1	1
2	16	2	2	1	2	1	1
2	17	3	1	2	1	1	1
2	17	4	2	1	1	1	1
2	17	4	2	1	2	1	1
2	17	4	2	2	1	1	1
2	17	4	3	3	2	1	1
2	17	5	2	2	1	1	2
2	17	5	3	3	3	1	1
2	17	6	1	2	1	1	1
2	17	6	2	2	1	1	1
2	18	3	2	1	2	1	1
2	18	7	2	2	1	2	1
2	18	8	3	2	2	2	1
2	19	3	2	3	1	1	1
2	19	4	2	1	1	1	2
2	19	7	1	1	1	1	1
2	19	7	2	1	1	1	1
2	19	9	1	1	1	2	1
2	20	3	3	2	2	1	1
2	20	4	1	1	1	1	2
2	20	9	2	2	1	2	2
2	21	4	1	1	1	1	1
2	21	4	3	2	3	1	1
2	21	6	3	2	3	1	1
2	22	5	1	1	1	1	2
2	22	8	1	3	1	2	2
2	22	8	2	3	1	2	1
2	23	5	2	1	1	1	1
2	23	7	1	3	1	1	2
2	23	8	1	2	1	2	1
2	23	9	2	2	1	2	1
2	24	5	3	2	3	2	1
2	24	6	3	3	3	2	1
2	24	7	1	1	1	1	2
2	24	9	1	1	1	1	1
2	25	6	1	3	1	1	1
2	26	6	2	3	2	1	1
2	27	7	1	1	1	2	2
2	28	7	1	2	1	1	1
2	28	7	3	2	2	2	2
2	29	8	1	1	1	1	1
2	30	8	1	1	1	1	2
2	30	8	1	2	1	1	2
2	31	8	2	2	1	1	1
2	31	8	2	2	1	2	1
2	31	8	3	3	2	2	2
2	32	8	2	2	1	2	2
2	32	9	3	3	3	2	2
2	33	8	2	2	2	2	2
3	1	1	1	1	1	1	1
3	1	8	1	2	1	1	1
3	1	9	2	2	1	2	1
3	1	10	1	2	1	2	2
3	1	11	1	2	1	2	2
3	2	10	1	1	1	1	1
3	2	11	1	1	1	1	2
3	3	10	1	1	1	2	1
3	3	10	1	2	1	2	1
3	3	10	2	2	1	2	2
3	4	9	1	1	1	1	1
3	4	10	1	1	1	2	2
3	4	11	1	1	1	2	1
3	5	6	1	1	1	1	1
3	5	9	1	1	1	1	2
3	5	11	1	1	1	2	2
3	5	12	1	1	1	2	1
3	6	9	1	1	1	2	2
3	6	11	2	2	1	2	2
3	6	12	1	1	1	2	3
3	6	13	1	1	1	2	1
3	7	7	1	1	1	1	2
3	7	8	1	1	1	2	1
3	7	12	1	2	1	2	2
3	7	13	2	1	1	2	3
3	8	12	2	1	1	2	2
3	9	13	1	1	1	2	2
3	9	13	2	1	1	2	2
3	9	17	1	1	1	3	3
3	10	2	1	1	1	1	1
3	10	2	1	2	1	1	1
3	10	5	1	1	1	1	2
3	10	6	1	1	1	1	2
3	10	7	1	2	1	1	2
3	10	8	2	2	1	2	1
3	11	2	2	2	1	1	1
3	11	3	1	1	1	1	1
3	12	3	1	1	1	1	2
3	12	3	1	2	1	1	1
3	12	4	1	1	1	1	1
3	12	4	1	2	1	1	1
3	12	7	1	2	1	1	1
3	13	3	2	1	1	1	1
3	13	3	2	2	1	1	1
3	13	4	2	1	1	1	1
3	13	5	2	1	1	1	1
3	13	5	2	2	1	1	1
3	13	8	1	2	1	2	1
3	14	4	1	1	1	1	2
3	14	5	1	2	1	1	1
3	14	8	1	1	1	1	2
3	14	8	1	1	1	2	2
3	14	8	2	1	1	1	2
3	14	9	1	2	1	2	2
3	15	5	1	1	1	1	1
3	15	6	1	3	1	1	2
3	15	6	2	2	1	1	1
3	15	7	1	1	1	1	1
3	16	6	1	2	1	1	1
3	17	8	1	1	1	1	1
3	17	8	1	2	1	1	2
4	1	1	1	1	1	1	1
4	1	14	1	1	1	2	2
4	2	10	1	1	1	2	1
4	2	10	1	2	1	1	2
4	3	6	1	2	1	1	2
4	3	7	1	1	1	1	1
4	3	7	2	2	1	1	1
4	3	8	1	1	1	1	1
4	3	9	1	1	1	1	1
4	3	9	1	1	1	1	2
4	3	9	1	1	1	2	1
4	3	10	1	2	1	2	1
4	3	10	1	2	1	2	2
4	3	10	1	3	1	2	1
4	3	11	1	1	1	2	2
4	3	12	1	2	1	2	2
4	3	12	1	2	1	2	3
4	3	13	1	1	1	2	1
4	3	13	2	2	1	2	2
4	3	14	1	2	1	2	2
4	4	5	1	1	1	1	2
4	4	5	3	2	1	1	1
4	4	6	1	2	1	1	1
4	4	7	1	2	1	1	1
4	4	7	1	2	1	1	2
4	4	7	2	3	1	1	1
4	4	8	1	1	1	1	2
4	4	9	1	2	1	2	1
4	4	10	2	3	1	2	2
4	4	11	1	1	1	2	1
4	4	11	1	2	1	2	1
4	4	11	1	2	1	2	2
4	4	11	2	3	1	2	2
4	4	12	1	1	1	2	1
4	4	12	1	1	1	2	2
4	4	12	1	2	1	2	1
4	4	12	2	3	1	2	2
4	5	2	1	1	1	1	1
4	5	2	1	2	1	1	1
