DOMAINVALUE,STRATO,NH_FRAME,NH_STRATA,PLANNED_UNITS,SELECTED_UNITS,SUM_OF_WGTS
1,1,198,198,3,3,198
1,2,34,34,3,3,34
1,3,147,147,4,4,147
1,4,99,99,2,2,99
1,5,10,10,2,2,10
1,6,6,6,3,3,6
1,7,9,9,2,2,9
1,8,15,15,3,3,15
1,9,7,7,3,3,7
1,10,13,13,2,2,13
1,11,3,3,3,3,3
1,12,22,22,2,2,22
1,13,26,26,2,2,26
2,1,272,272,3,3,272
2,2,11,11,2,2,11
2,3,12,12,2,2,12
2,4,16,16,2,2,16
2,5,22,22,2,2,22
2,6,5,5,2,2,5
2,7,2,2,2,2,2
2,8,188,188,2,2,188
2,9,119,119,2,2,119
2,10,53,53,2,2,53
2,11,130,130,4,4,130
2,12,83,83,4,4,83
3,1,73,73,4,4,73
3,2,14,14,2,2,14
3,3,17,17,2,2,17
3,4,11,11,2,2,11
3,5,12,12,2,2,12
3,6,1,1,1,1,1
3,7,61,61,4,4,61
3,8,105,105,2,2,105
3,9,27,27,2,2,27
4,1,13,13,2,2,13
4,2,17,17,2,2,17
4,3,4,4,2,2,4
4,4,22,22,2,2,22
4,5,18,18,2,2,18
4,6,10,10,2,2,10
4,7,3,3,3,3,3
4,8,84,84,4,4,84
5,1,82,82,4,4,82
5,2,37,37,4,4,37
5,3,3,3,2,2,3
5,4,35,35,2,2,35
5,5,11,11,2,2,11
5,6,16,16,4,4,16
5,7,13,13,2,2,13
5,8,8,8,2,2,8
5,9,4,4,2,2,4
5,10,1,1,1,1,1
5,11,48,48,2,2,48
5,12,88,88,3,3,88
5,13,28,28,3,3,28
5,14,52,52,3,3,52
5,15,45,45,3,3,45
6,1,53,53,5,5,53
6,2,12,12,2,2,12
6,3,24,24,4,4,24
6,4,8,8,2,2,8
6,5,7,7,2,2,7
6,6,7,7,2,2,7
6,7,4,4,2,2,4
6,8,8,8,2,2,8
6,9,4,4,4,4,4
6,10,34,34,5,5,34
6,11,25,25,3,3,25
7,1,60,60,2,2,60
7,2,44,44,2,2,44
7,3,35,35,2,2,35
7,4,9,9,2,2,9
7,5,4,4,3,3,4
7,6,42,42,2,2,42
7,7,26,26,2,2,26
7,8,25,25,3,3,25
