DOMAINVALUE,STRATO,NH_FRAME,NH_STRATA,PLANNED_UNITS,SELECTED_UNITS,SUM_OF_WGTS
1,1,186,186,3,3,186
1,2,1,1,1,1,1
1,3,3,3,2,2,3
1,4,16,16,2,2,16
1,5,33,33,2,2,33
1,6,61,61,4,4,61
1,7,2,2,2,2,2
1,8,8,8,8,8,8
1,9,12,12,2,2,12
1,10,11,11,3,3,11
1,11,2,2,2,2,2
1,12,16,16,6,6,16
1,13,6,6,2,2,6
1,14,1,1,1,1,1
1,15,7,7,3,3,7
1,16,2,2,2,2,2
1,17,110,110,7,7,110
1,18,3,3,2,2,3
1,19,16,16,2,2,16
1,20,10,10,2,2,10
1,21,25,25,2,2,25
1,22,4,4,2,2,4
1,23,26,26,2,2,26
1,24,1,1,1,1,1
1,25,19,19,2,2,19
1,26,3,3,2,2,3
1,27,2,2,2,2,2
1,28,1,1,1,1,1
1,29,1,1,1,1,1
1,30,1,1,1,1,1
2,1,263,263,9,9,263
2,2,6,6,2,2,6
2,3,86,86,8,8,86
2,4,28,28,8,8,28
2,5,267,267,7,7,267
2,6,18,18,2,2,18
2,7,4,4,2,2,4
2,8,2,2,2,2,2
2,9,2,2,2,2,2
2,10,10,10,10,10,10
2,11,36,36,2,2,36
2,12,133,133,7,7,133
2,13,40,40,3,3,40
2,14,16,16,2,2,16
2,15,2,2,2,2,2
3,1,44,44,2,2,44
3,2,2,2,2,2,2
3,3,6,6,6,6,6
3,4,3,3,2,2,3
3,5,27,27,4,4,27
3,6,7,7,2,2,7
3,7,19,19,3,3,19
3,8,5,5,2,2,5
3,9,2,2,2,2,2
3,10,46,46,2,2,46
3,11,5,5,2,2,5
3,12,91,91,2,2,91
3,13,1,1,1,1,1
3,14,28,28,2,2,28
3,15,6,6,2,2,6
3,16,24,24,2,2,24
3,17,1,1,1,1,1
3,18,1,1,1,1,1
3,19,3,3,2,2,3
4,1,2,2,2,2,2
4,2,10,10,2,2,10
4,3,20,20,2,2,20
4,4,55,55,6,6,55
4,5,21,21,3,3,21
4,6,6,6,2,2,6
4,7,1,1,1,1,1
4,8,1,1,1,1,1
4,9,55,55,4,4,55
5,1,85,85,3,3,85
5,2,22,22,4,4,22
5,3,2,2,2,2,2
5,4,2,2,2,2,2
5,5,36,36,3,3,36
5,6,16,16,2,2,16
5,7,4,4,2,2,4
5,8,8,8,2,2,8
5,9,8,8,2,2,8
5,10,12,12,3,3,12
5,11,5,5,2,2,5
5,12,1,1,1,1,1
5,13,1,1,1,1,1
5,14,6,6,5,5,6
5,15,1,1,1,1,1
5,16,39,39,2,2,39
5,17,28,28,3,3,28
5,18,1,1,1,1,1
5,19,7,7,2,2,7
5,20,29,29,3,3,29
5,21,39,39,2,2,39
5,22,23,23,2,2,23
5,23,13,13,2,2,13
5,24,20,20,2,2,20
5,25,8,8,2,2,8
5,26,10,10,2,2,10
5,27,22,22,2,2,22
5,28,11,11,2,2,11
5,29,2,2,2,2,2
5,30,8,8,2,2,8
5,31,1,1,1,1,1
5,32,1,1,1,1,1
6,1,30,30,4,4,30
6,2,1,1,1,1,1
6,3,2,2,2,2,2
6,4,1,1,1,1,1
6,5,1,1,1,1,1
6,6,11,11,2,2,11
6,7,9,9,2,2,9
6,8,2,2,2,2,2
6,9,11,11,10,10,11
6,10,15,15,2,2,15
6,11,49,49,8,8,49
6,12,39,39,5,5,39
6,13,15,15,2,2,15
7,1,57,57,2,2,57
7,2,11,11,2,2,11
7,3,52,52,4,4,52
7,4,22,22,2,2,22
7,5,5,5,4,4,5
7,6,1,1,1,1,1
7,7,37,37,2,2,37
7,8,1,1,1,1,1
7,9,26,26,8,8,26
7,10,12,12,2,2,12
7,11,12,12,3,3,12
7,12,9,9,2,2,9
