DOM1	AGGR_STRATUM	X1	X2	X3	X4	X5	X6
1	1	1	1	1	1	1	1
1	1	5	1	2	1	1	1
1	1	6	2	2	2	1	2
1	2	1	1	1	1	1	2
1	3	1	1	1	2	1	1
1	3	6	3	3	3	2	1
1	4	1	1	2	1	1	1
1	4	2	2	2	2	1	1
1	4	7	1	1	1	2	1
1	4	9	3	3	2	2	1
1	4	10	1	1	1	1	2
1	5	1	2	1	1	1	1
1	5	2	2	1	1	1	1
1	5	4	1	2	1	1	1
1	5	7	2	1	2	1	2
1	5	7	2	2	1	2	1
1	5	8	1	2	1	1	2
1	6	1	2	1	2	1	1
1	6	3	1	1	1	1	1
1	6	4	2	1	2	1	1
1	6	6	2	2	1	1	2
1	6	8	2	2	1	1	1
1	6	9	2	1	1	1	3
1	6	9	3	2	3	2	1
1	7	1	2	1	3	1	1
1	7	4	3	2	2	2	1
1	8	1	2	2	1	1	1
1	8	2	2	1	2	1	1
1	8	17	2	2	1	3	2
1	9	1	3	1	2	1	1
1	9	3	3	2	2	1	1
1	9	5	1	1	1	2	1
1	9	8	1	1	1	2	1
1	9	10	1	1	1	1	1
1	9	10	1	2	1	2	1
1	9	10	2	2	1	2	3
1	9	11	1	1	1	2	1
1	10	5	3	1	2	1	1
1	10	10	1	1	1	2	1
1	10	11	1	1	1	2	2
1	10	12	1	2	1	2	3
1	10	12	2	2	1	2	3
1	10	13	1	1	1	2	1
1	11	3	1	1	1	1	2
1	11	10	1	3	1	2	2
1	12	3	1	2	1	1	1
1	12	3	3	1	2	1	1
1	12	5	2	2	1	1	1
1	12	8	2	2	2	2	1
1	12	10	2	1	2	2	1
1	12	11	1	2	1	2	1
1	12	11	2	1	1	2	2
1	12	12	1	1	1	2	2
1	12	14	1	2	1	2	2
1	13	6	1	2	1	1	2
1	13	6	3	2	2	2	1
1	13	7	1	1	1	1	2
1	13	11	1	2	1	2	2
1	13	12	1	1	1	2	1
1	13	12	2	1	1	2	3
1	14	13	1	1	1	1	2
1	15	9	2	2	1	2	3
1	15	13	1	1	1	2	2
1	15	13	1	2	1	2	2
1	15	14	1	1	1	2	2
1	15	14	1	3	1	2	3
1	16	14	2	1	1	2	1
1	16	17	1	1	1	3	2
1	17	2	1	1	1	1	1
1	17	2	1	1	2	1	1
1	17	2	1	2	1	1	1
1	17	2	2	2	1	1	1
1	17	3	2	1	1	2	1
1	17	4	1	2	1	1	2
1	17	4	2	2	1	1	1
1	17	4	2	2	2	1	1
1	17	7	1	1	1	1	1
1	17	7	1	2	1	1	2
1	17	7	3	2	2	2	1
1	17	8	3	2	2	2	1
1	18	3	1	1	2	1	1
1	18	4	1	1	1	1	2
1	19	3	2	1	1	1	1
1	19	3	2	2	1	1	1
1	19	5	2	2	1	2	1
1	19	7	1	2	1	1	1
1	19	9	1	1	1	1	2
1	20	3	2	1	2	1	1
1	20	4	1	3	1	1	1
1	20	4	2	1	1	1	1
1	21	3	2	2	2	1	1
1	21	4	1	1	1	1	1
1	21	4	3	1	2	1	1
1	21	4	3	2	3	1	1
1	21	5	2	1	1	1	1
1	22	4	1	1	2	1	1
1	22	4	3	1	1	1	1
