DOMAINVALUE	STRATUM	PROGR	REG	X1	X2	X3	X4	X5	X6	ID	Y1	Y2	Y3	Y4	LABEL
1	1*1*1*1*1*1	2247	1	1	1	1	1	1	1	Burtigny	85	87	99	40	1
1	1*1*1*1*1*1	2494	1	1	1	1	1	1	1	Hohtenn	31	49	77	43	1
1	1*1*1*1*1*1	2734	1	1	1	1	1	1	1	Chene-Paquier	30	26	27	21	1
1	1*1*1*1*1*1	2258	1	1	1	1	1	1	1	Corcelles-sur-Chavornay	77	67	113	48	1
1	1*1*1*1*1*1	2740	1	1	1	1	1	1	1	Champtauroz	20	26	35	19	1
1	1*1*1*1*1*1	2867	1	1	1	1	1	1	1	Villars-sous-Champvent	10	15	16	4	1
1	1*1*1*1*1*1	2409	1	1	1	1	1	1	1	Saint-Oyens	64	57	86	30	1
1	1*1*1*1*1*1	2505	1	1	1	1	1	1	1	Orzens	57	35	57	48	1
1	1*1*1*1*1*1	2614	1	1	1	1	1	1	1	Filet	37	47	51	17	1
1	1*1*1*1*1*1	2628	1	1	1	1	1	1	1	Marnand	29	42	40	34	1
1	1*1*1*1*1*1	2305	1	1	1	1	1	1	1	Monnaz	73	64	97	45	1
1	1*1*1*1*1*1	2266	1	1	1	1	1	1	1	Erschmatt	74	67	95	66	1
1	1*1*1*1*1*1	2150	1	1	1	1	1	1	1	Embd	82	115	92	64	1
1	1*1*1*1*1*1	2511	1	1	1	1	1	1	1	Rueyres	53	60	57	25	1
1	1*1*1*1*1*1	2516	1	1	1	1	1	1	1	Tartegnin	38	64	68	24	1
1	1*1*1*1*1*1	2625	1	1	1	1	1	1	1	Chesalles-sur-Oron	34	39	55	20	1
1	1*1*1*1*1*1	2275	1	1	1	1	1	1	1	Vinzel	88	90	103	14	1
1	1*1*1*1*1*1	2787	1	1	1	1	1	1	1	Goppisberg	17	17	24	21	1
1	1*1*1*1*1*1	2884	1	1	1	1	1	1	1	Goumoens-le-Jux	11	5	11	7	1
1	1*1*1*1*1*1	2762	1	1	1	1	1	1	1	Inden	16	21	30	22	1
1	1*1*1*1*1*1	2886	1	1	1	1	1	1	1	Champmartin	5	5	14	9	1
1	1*1*1*1*1*1	2510	1	1	1	1	1	1	1	Obergesteln	27	53	78	37	1
1	1*1*1*1*1*1	2160	1	1	1	1	1	1	1	Senarclens	89	90	109	61	1
1	1*1*1*1*1*1	2499	1	1	1	1	1	1	1	Saubraz	39	51	66	42	1
1	1*1*1*1*1*1	2500	1	1	1	1	1	1	1	Chabrey	56	42	65	35	1
1	1*1*1*1*1*1	2163	1	1	1	1	1	1	1	Giez	81	97	113	57	1
1	1*1*1*1*1*1	2489	1	1	1	1	1	1	1	Moiry	54	48	76	24	1
1	1*1*1*1*1*1	2893	1	1	1	1	1	1	1	Martisberg	7	6	7	7	1
1	1*1*1*1*1*1	2287	1	1	1	1	1	1	1	Villars-le-Grand	75	66	100	49	1
1	1*1*1*1*1*1	2692	1	1	1	1	1	1	1	Vuibroye	39	22	40	19	1
1	1*1*1*1*1*1	2653	1	1	1	1	1	1	1	Arnex-sur-Nyon	39	28	57	12	1
1	1*1*1*1*1*1	2169	1	1	1	1	1	1	1	Fiez	98	99	113	35	1
1	1*1*1*1*1*1	2533	1	1	1	1	1	1	1	Bussy-sur-Moudon	42	47	64	33	1
1	1*1*1*1*1*1	2171	1	1	1	1	1	1	1	Longirod	92	80	115	57	1
1	1*1*1*1*1*1	2172	1	1	1	1	1	1	1	Bonvillars	88	63	128	65	1
1	1*1*1*1*1*1	2173	1	1	1	1	1	1	1	Maracon	108	84	103	49	1
1	1*1*1*1*1*1	2456	1	1	1	1	1	1	1	Birgisch	52	59	69	37	1
1	1*1*1*1*1*1	2877	1	1	1	1	1	1	1	Vaugondry	12	11	11	4	1
1	1*1*1*1*1*1	2176	1	1	1	1	1	1	1	Villars-Tiercelin	76	92	136	39	1
1	1*1*1*1*1*1	2662	1	1	1	1	1	1	1	Fontaines-sur-Grandson	32	38	41	21	1
1	1*1*1*1*1*1	2744	1	1	1	1	1	1	1	Blitzingen	23	22	27	27	1
1	1*1*1*1*1*1	2179	1	1	1	1	1	1	1	Penthereaz	102	110	93	37	1
1	1*1*1*1*1*1	2180	1	1	1	1	1	1	1	Bursinel	91	90	127	34	1
1	1*1*1*1*1*1	2545	1	1	1	1	1	1	1	Valeyres-sous-Ursins	38	58	61	23	1
1	1*1*1*1*1*1	2302	1	1	1	1	1	1	1	Constantine	70	75	87	48	1
1	1*1*1*1*1*1	2587	1	1	1	1	1	1	1	Brenles	57	44	38	24	1
1	1*1*1*1*1*1	2588	1	1	1	1	1	1	1	Gluringen	42	42	56	21	1
1	1*1*1*1*1*1	2670	1	1	1	1	1	1	1	Donatyre	34	37	38	18	1
1	1*1*1*1*1*1	2186	1	1	1	1	1	1	1	Vallamand	65	86	135	53	1
1	1*1*1*1*1*1	2308	1	1	1	1	1	1	1	Corcelles-pres-Concise	80	70	77	51	1
1	1*1*1*1*1*1	2175	1	1	1	1	1	1	1	Cottens (VD)	84	100	120	39	1
1	1*1*1*1*1*1	2552	1	1	1	1	1	1	1	Suscevaz	46	43	60	29	1
1	1*1*1*1*1*1	2311	1	1	1	1	1	1	1	Seigneux	79	90	79	28	1
1	1*1*1*1*1*1	2312	1	1	1	1	1	1	1	Missy	87	71	75	42	1
1	1*1*1*1*1*1	2192	1	1	1	1	1	1	1	Lignerolle	97	86	92	59	1
1	1*1*1*1*1*1	2354	1	1	1	1	1	1	1	Chigny	83	58	85	32	1
1	1*1*1*1*1*1	2679	1	1	1	1	1	1	1	Chavannes-le-Veyron	40	32	44	9	1
1	1*1*1*1*1*1	2519	1	1	1	1	1	1	1	Grafschaft	43	38	67	44	1
1	1*1*1*1*1*1	2600	1	1	1	1	1	1	1	Bofflens	40	41	49	27	1
1	1*1*1*1*1*1	2237	1	1	1	1	1	1	1	Rivaz	71	95	103	48	1
1	1*1*1*1*1*1	2238	1	1	1	1	1	1	1	Grens	93	98	97	28	1
1	1*1*1*1*1*1	2523	1	1	1	1	1	1	1	Villarzel	59	42	57	32	1
1	1*1*1*1*1*1	2806	1	1	1	1	1	1	1	Fontanezier	17	12	24	17	1
1	1*1*1*1*1*1	2525	1	1	1	1	1	1	1	Villars-Mendraz	46	59	62	23	1
1	1*1*1*1*1*1	2889	1	1	1	1	1	1	1	Bister	3	3	16	11	1
1	1*1*1*1*1*1	2203	1	1	1	1	1	1	1	Bettens	101	119	80	30	1
1	1*1*1*1*1*1	2124	1	1	1	1	1	1	1	Chatillens	103	103	119	40	1
1	1*1*1*1*1*1	2568	1	1	1	1	1	1	1	Cuarny	49	47	60	15	1
1	1*1*1*1*1*1	2691	1	1	1	1	1	1	1	Neyruz-sur-Moudon	25	28	43	24	1
1	1*1*1*1*1*1	2853	1	1	1	1	1	1	1	Villars-Epeney	15	13	15	7	1
1	1*1*1*1*1*1	2572	1	1	1	1	1	1	1	Oppens	37	54	53	26	1
1	1*1*1*1*1*1	2573	1	1	1	1	1	1	1	Dizy	54	53	39	24	1
1	1*1*1*1*1*1	2574	1	1	1	1	1	1	1	Ursins	37	44	63	26	1
1	1*1*1*1*1*1	2211	1	1	1	1	1	1	1	Grancy	90	91	100	47	1
1	1*1*1*1*1*1	2576	1	1	1	1	1	1	1	Bioley-Magnoux	40	25	59	45	1
1	1*1*1*1*1*1	2334	1	1	1	1	1	1	1	Ferlens (VD)	74	58	102	31	1
1	1*1*1*1*1*1	2861	1	1	1	1	1	1	1	Rossens (VD)	11	6	15	14	1
1	1*1*1*1*1*1	2215	1	1	1	1	1	1	1	Lussery-Villars	85	103	98	41	1
1	1*1*1*1*1*1	2822	1	1	1	1	1	1	1	Cerniaz (VD)	11	12	21	19	1
1	1*1*1*1*1*1	2417	1	1	1	1	1	1	1	Zeneggen	57	66	65	47	1
1	1*1*1*1*1*1	2542	1	1	1	1	1	1	1	Molondin	50	45	54	32	1
1	1*1*1*1*1*1	2219	1	1	1	1	1	1	1	Reverolle	92	105	101	25	1
1	1*1*1*1*1*1	2624	1	1	1	1	1	1	1	Sassel	26	34	63	25	1
1	1*1*1*1*1*1	2221	1	1	1	1	1	1	1	Luins	69	110	114	29	1
1	1*1*1*1*1*1	2706	1	1	1	1	1	1	1	Prevonloup	21	21	46	26	1
1	1*1*1*1*1*1	2423	1	1	1	1	1	1	1	Trey	72	41	75	44	1
1	1*1*1*1*1*1	2708	1	1	1	1	1	1	1	Mutrux	38	23	34	18	1
1	1*1*1*1*1*1	2589	1	1	1	1	1	1	1	Unterems	31	35	54	41	1
1	1*1*1*1*1*1	2226	1	1	1	1	1	1	1	Donneloye	90	87	99	44	1
1	1*1*1*1*1*1	2631	1	1	1	1	1	1	1	Grandevent	34	40	57	13	1
1	1*1*1*1*1*1	2228	1	1	1	1	1	1	1	Ependes (VD)	79	101	114	26	1
1	1*1*1*1*1*1	2593	1	1	1	1	1	1	1	Chesalles-sur-Moudon	54	40	45	20	1
1	1*1*1*1*1*1	2472	1	1	1	1	1	1	1	Premier	55	31	73	49	1
1	1*1*1*1*1*1	2595	1	1	1	1	1	1	1	Vaux-sur-Morges	52	47	43	16	1
1	1*1*1*1*1*1	2232	1	1	1	1	1	1	1	Chapelle-sur-Moudon	102	71	98	48	1
1	1*1*1*1*1*1	2637	1	1	1	1	1	1	1	Peyres-Possens	31	50	41	21	1
1	1*1*1*1*1*1	2718	1	1	1	1	1	1	1	Correvon	32	30	32	16	1
1	1*1*1*1*1*1	2477	1	1	1	1	1	1	1	Mase	30	45	74	58	1
1	1*1*1*1*1*1	2801	1	1	1	1	1	1	1	Martherenges	20	16	26	9	1
1	1*1*1*1*1*1	2398	1	1	1	1	1	1	1	Dommartin	56	75	76	34	1
1	1*1*1*1*1*1	2331	1	1	1	1	1	1	1	Croy	66	62	93	46	1
1	1*1*1*1*1*1	2563	1	1	1	1	1	1	1	Mur (VD)	52	41	59	21	1
1	1*1*1*1*1*1	2240	1	1	1	1	1	1	1	Chessel	102	74	98	40	1
1	1*1*1*1*1*1	2565	1	1	1	1	1	1	1	Les Thioleyres	53	42	56	21	1
1	1*1*1*1*1*1	2848	1	1	1	1	1	1	1	Rossenges	14	17	10	10	1
1	1*1*1*1*1*1	2687	1	1	1	1	1	1	1	Les Tavernes	36	36	37	13	1
1	1*1*1*1*1*1	2164	1	1	1	1	1	1	1	Saint-Saphorin (Lavaux)	72	99	131	46	1
1	1*1*1*1*1*1	2245	1	1	1	1	1	1	1	Peney-le-Jorat	97	79	97	39	1
