STRATO	N	M1	M2	M3	M4	S1	S2	S3	S4	COST	CENS	DOM1	X1	X2	X3	X4	X5	X6	LABEL	STRATUM
1*1*1*1*1*1	184	48.3152173913044	49.4021739130435	61.4402173913044	28.4076086956522	26.8885289893165	28.5760646461005	32.7196522212957	14.6791606026724	1	0	1	1	1	1	1	1	1	1	1*1*1*1*1*1
1*1*1*1*1*2	1	98	106	116	43	0	0	0	0	1	0	1	1	1	1	1	1	2	2	1*1*1*1*1*2
1*1*1*2*1*1	2	57	64	70	50	5.65685424949238	0	1.4142135623731	21.2132034355964	1	0	1	1	1	1	2	1	1	3	1*1*1*2*1*1
1*1*2*1*1*1	11	77.7272727272727	81.1818181818182	92.3636363636364	47	15.9943171726142	19.6102941427108	17.8620980137985	11.6704755687161	1	0	1	1	1	2	1	1	1	4	1*1*2*1*1*1
1*2*1*1*1*1	9	58.2222222222222	61.5555555555556	66.7777777777778	36.2222222222222	27.0082291986062	21.5006459851275	26.4091734903697	16.4375924163013	1	0	1	1	2	1	1	1	1	5	1*2*1*1*1*1
1*2*1*2*1*1	8	61	68	84.625	58.375	26.2624120315383	20.8258081647336	28.1726184188021	28.3898246358998	1	0	1	1	2	1	2	1	1	6	1*2*1*2*1*1
1*2*1*3*1*1	1	48	70	63	31	0	0	0	0	1	0	1	1	2	1	3	1	1	5	1*2*1*3*1*1
1*2*2*1*1*1	1	90	80	99	59	0	0	0	0	1	0	1	1	2	2	1	1	1	7	1*2*2*1*1*1
1*3*1*2*1*1	1	20	23	23	12	0	0	0	0	1	0	1	1	3	1	2	1	1	7	1*3*1*2*1*1
10*1*1*1*1*1	1	1686	2174	2397	964	0	0	0	0	1	0	1	10	1	1	1	1	1	8	10*1*1*1*1*1
10*1*1*1*1*2	1	1980	2379	2474	665	0	0	0	0	1	0	1	10	1	1	1	1	2	9	10*1*1*1*1*2
10*1*1*1*2*1	3	2006.33333333333	2198.66666666667	2847.33333333333	1121.66666666667	339.753341901641	108.038573358469	161.202770861215	148.446398856063	1	0	1	10	1	1	1	2	1	2	10*1*1*1*2*1
10*1*2*1*2*1	1	1800	2001	3045	1424	0	0	0	0	1	0	1	10	1	2	1	2	1	6	10*1*2*1*2*1
10*1*3*1*2*2	1	1724	2089	2261	1220	0	0	0	0	1	0	1	10	1	3	1	2	2	8	10*1*3*1*2*2
10*2*1*2*2*1	1	1811	2013	2488	1203	0	0	0	0	1	0	1	10	2	1	2	2	1	8	10*2*1*2*2*1
10*2*2*1*2*3	1	2088	2182	2449	1236	0	0	0	0	1	0	1	10	2	2	1	2	3	8	10*2*2*1*2*3
11*1*1*1*2*1	4	2312	2732.25	3448.25	1820.75	407.992646992565	456.097485924519	10.1447851956888	452.689279013026	1	0	1	11	1	1	1	2	1	2	11*1*1*1*2*1
11*1*1*1*2*2	1	2320	3548	3309	1050	0	0	0	0	1	0	1	11	1	1	1	2	2	8	11*1*1*1*2*2
11*1*2*1*2*1	1	2203	2551	3176	1146	0	0	0	0	1	0	1	11	1	2	1	2	1	8	11*1*2*1*2*1
11*1*2*1*2*2	1	2716	3418	2923	606	0	0	0	0	1	0	1	11	1	2	1	2	2	8	11*1*2*1*2*2
11*2*1*1*2*2	1	2836	3353	3692	1709	0	0	0	0	1	0	1	11	2	1	1	2	2	5	11*2*1*1*2*2
12*1*1*1*2*1	1	3057	3156	4116	1812	0	0	0	0	1	0	1	12	1	1	1	2	1	8	12*1*1*1*2*1
12*1*1*1*2*2	1	2940	4388	4408	2418	0	0	0	0	1	0	1	12	1	1	1	2	2	2	12*1*1*1*2*2
12*1*2*1*2*3	1	3156	3943	4918	2300	0	0	0	0	1	0	1	12	1	2	1	2	3	8	12*1*2*1*2*3
12*2*1*1*2*3	1	3359	4170	4509	1895	0	0	0	0	1	0	1	12	2	1	1	2	3	2	12*2*1*1*2*3
12*2*2*1*2*3	1	3419	4288	4522	2132	0	0	0	0	1	0	1	12	2	2	1	2	3	10	12*2*2*1*2*3
13*1*1*1*1*2	1	3772	6102	5354	2362	0	0	0	0	1	0	1	13	1	1	1	1	2	2	13*1*1*1*1*2
13*1*1*1*2*1	3	3454.66666666667	4709	5289	2765.66666666667	313.544786806181	584.156657070687	514.991262061795	378.603134341666	1	0	1	13	1	1	1	2	1	10	13*1*1*1*2*1
13*1*1*1*2*2	2	3931.5	5750	5439.5	2173	260.922402257836	670.337228564847	362.745778748699	278.6000717875	1	0	1	13	1	1	1	2	2	11	13*1*1*1*2*2
13*1*2*1*2*2	1	4424	5800	7121	2203	0	0	0	0	1	0	1	13	1	2	1	2	2	10	13*1*2*1*2*2
14*1*1*1*2*2	2	6658	8303.5	8961	3701	1217.63787720323	880.347942577252	752.361615182487	113.137084989848	1	0	1	14	1	1	1	2	2	11	14*1*1*1*2*2
14*1*2*1*2*2	1	5796	7279	7126	4175	0	0	0	0	1	0	1	14	1	2	1	2	2	3	14*1*2*1*2*2
14*1*3*1*2*3	1	6732	7998	8492	3949	0	0	0	0	1	0	1	14	1	3	1	2	3	10	14*1*3*1*2*3
14*2*1*1*2*1	1	4790	6615	6931	4118	0	0	0	0	1	0	1	14	2	1	1	2	1	11	14*2*1*1*2*1
17*1*1*1*3*2	1	32429	60074	57063	28398	0	0	0	0	1	0	1	17	1	1	1	3	2	11	17*1*1*1*3*2
17*2*2*1*3*2	1	24291	44202	35421	21000	0	0	0	0	1	0	1	17	2	2	1	3	2	11	17*2*2*1*3*2
2*1*1*1*1*1	67	133.970149253731	137.805970149254	172.223880597015	64.8358208955224	35.0038829661033	32.6743522835665	42.7142800958501	20.4736319814753	1	0	1	2	1	1	1	1	1	12	2*1*1*1*1*1
2*1*1*2*1*1	2	111.5	103	120.5	65.5	13.4350288425444	9.89949493661167	6.36396103067893	4.94974746830583	1	0	1	2	1	1	2	1	1	12	2*1*1*2*1*1
2*1*2*1*1*1	27	139.185185185185	140.259259259259	165.555555555556	69.5925925925926	27.5248657329738	36.198802139757	38.9875062170645	17.3188631250155	1	0	1	2	1	2	1	1	1	4	2*1*2*1*1*1
2*2*1*1*1*1	16	134.8125	134.6875	176.0625	92.375	35.1761638044856	34.7576730137869	32.7545798324448	19.2176134487784	1	0	1	2	2	1	1	1	1	12	2*2*1*1*1*1
2*2*1*2*1*1	6	121.666666666667	118.166666666667	164.166666666667	92.6666666666667	28.1259073927699	31.8082798445101	35.6730523878553	9.3523615556001	1	0	1	2	2	1	2	1	1	9	2*2*1*2*1*1
2*2*2*1*1*1	1	169	188	259	80	0	0	0	0	1	0	1	2	2	2	1	1	1	5	2*2*2*1*1*1
2*2*2*2*1*1	2	133.5	136	147	97	61.5182899632296	63.6396103067893	38.1837661840736	42.4264068711929	1	0	1	2	2	2	2	1	1	12	2*2*2*2*1*1
3*1*1*1*1*1	45	245.044444444444	253.777777777778	316.688888888889	110.2	47.2146720048467	47.7497686281348	57.8174329727251	39.8551924300506	1	0	1	3	1	1	1	1	1	7	3*1*1*1*1*1
3*1*1*1*1*2	1	232	260	297	115	0	0	0	0	1	0	1	3	1	1	1	1	2	13	3*1*1*1*1*2
3*1*1*2*1*1	2	213	254	242.5	96.5	5.65685424949238	38.1837661840736	4.94974746830583	13.4350288425444	1	0	1	3	1	1	2	1	1	13	3*1*1*2*1*1
3*1*2*1*1*1	8	248.625	251.75	312.875	128.875	61.7643852532694	27.9067324186425	49.6514637965776	27.3257466242265	1	0	1	3	1	2	1	1	1	13	3*1*2*1*1*1
3*2*1*1*1*1	10	235.2	241.2	303.3	144.1	44.1230602343541	38.5941849390697	59.1439862632805	42.8367702901245	1	0	1	3	2	1	1	1	1	5	3*2*1*1*1*1
3*2*1*1*2*1	1	212	234	353	194	0	0	0	0	1	0	1	3	2	1	1	2	1	6	3*2*1*1*2*1
3*2*1*2*1*1	3	204	240.333333333333	303	177.333333333333	41.3279566395437	42.5715084690845	63.9061812346818	42.359571921035	1	0	1	3	2	1	2	1	1	13	3*2*1*2*1*1
3*2*2*1*1*1	3	261.333333333333	261	327	146.333333333333	52.3672925912094	34.6987031457949	59.0254182534948	20.6478408879314	1	0	1	3	2	2	1	1	1	13	3*2*2*1*1*1
3*2*2*2*1*1	1	168	213	302	218	0	0	0	0	1	0	1	3	2	2	2	1	1	12	3*2*2*2*1*1
3*3*1*2*1*1	1	190	172	254	179	0	0	0	0	1	0	1	3	3	1	2	1	1	12	3*3*1*2*1*1
3*3*2*2*1*1	1	203	230	365	277	0	0	0	0	1	0	1	3	3	2	2	1	1	14	3*3*2*2*1*1
4*1*1*1*1*1	18	371.111111111111	400.777777777778	505.333333333333	179.833333333333	60.7684988914186	70.0710190622221	71.263388834908	43.7684414914243	1	0	1	4	1	1	1	1	1	13	4*1*1*1*1*1
4*1*1*1*1*2	1	311	397	455	173	0	0	0	0	1	0	1	4	1	1	1	1	2	6	4*1*1*1*1*2
4*1*1*2*1*1	1	343	444	510	134	0	0	0	0	1	0	1	4	1	1	2	1	1	1	4*1*1*2*1*1
4*1*2*1*1*1	5	412.8	432	486.8	169.6	22.8188518554287	77.6273147803014	84.396089956822	65.2939507152079	1	0	1	4	1	2	1	1	1	13	4*1*2*1*1*1
4*1*2*1*1*2	1	412	492	515	225	0	0	0	0	1	0	1	4	1	2	1	1	2	13	4*1*2*1*1*2
4*1*3*1*1*1	1	453	465	589	197	0	0	0	0	1	0	1	4	1	3	1	1	1	13	4*1*3*1*1*1
4*2*1*1*1*1	6	333.833333333333	363.833333333333	418.333333333333	206.5	49.3129462379472	37.6691739578487	56.7473934790548	25.8746980658712	1	0	1	4	2	1	1	1	1	14	4*2*1*1*1*1
4*2*1*2*1*1	4	375.5	414.25	483.5	205.5	78.5217591923835	77.124898703337	64.8099786555537	51.416599135558	1	0	1	4	2	1	2	1	1	14	4*2*1*2*1*1
4*2*2*1*1*1	2	351	383.5	427.5	239	15.556349186104	26.1629509039023	4.94974746830583	31.1126983722081	1	0	1	4	2	2	1	1	1	1	4*2*2*1*1*1
