STRATO	M1	M2	S1	S2	N	DOM1	COST	CENS	SOLUZ
1	0.0248161883713795	15.676580637686	0.0229961175660038	13.6087785290587	28	1	1	0	12.5691806201464
2	0.0104465049731597	29.8128330948023	0.00966863637249245	25.857097652661	20	1	1	0	16.6785307298237
3	0.0633314642935593	7.80593971160583	0.0586475074336005	6.77383981175208	27	1	1	0	8.8861174893559
4	0.0316013989519716	13.0878233643476	0.0292499038706008	11.3536728073931	22	1	1	0	8.48820322218717
5	0.039331314185243	11.118440683736	0.0363874010540326	9.64205809426017	18	1	1	0	6.23122864283761
6	0.0184789316367805	19.5733908707951	0.0171978786914645	17.0370974352706	18	1	1	0	9.96394549715512
7	0.0083138888783872	35.429389355348	0.00772515989057275	30.8230588040548	20	1	1	0	19.8687178420681
8	0.0786450889251126	6.64910327753693	0.0729188852932689	5.77352076007867	12	1	1	0	4.30046140354155
9	0.104893646895658	5.37344840165159	0.0974619352992903	4.67126432257277	11	1	1	0	4.79837557376342
10	0.0136054054501496	24.5206519383021	0.0126138718366413	21.2915072959508	15	1	1	0	10.3186361826461
11	0.161265788132136	3.93907332022526	0.152021702322158	3.4572737254538	3	1	1	0	2
12	0.0481986912241217	9.55427587385639	0.0445659480427019	8.28207004274342	13	1	1	0	4.23707889567096
