STRATO	M1	M2	M3	M4	S1	S2	S3	S4	N	DOM1	COST	CENS	SOLUZ
1	35.125	47.25	62.625	34.6428571428572	32.3545555008688	49.3971566191245	56.2751870476075	23.1591012779431	56	7	1	0	2
2	10	17	25	16	0	0	0	0	1	7	1	0	1
3	27.1481481481481	34.8518518518519	55.4444444444444	32.9259259259259	19.0295630447559	22.3209102660809	35.2637200207634	20.6721135842132	27	7	1	0	2
4	222.941176470588	293.352941176471	352.941176470588	193.176470588235	180.762814409627	257.350730784158	288.182388496925	173.419125467472	17	7	1	0	2.32623525153054
5	1495	2211.8	2543.8	1398.6	767.304079228046	1106.76253550615	1194.72193836055	761.657002856273	5	7	1	0	2.90421850325909
6	572.555555555556	779.555555555556	913.777777777778	440.666666666667	345.221062484641	487.378758467423	546.670599191196	306.518215880666	9	7	1	0	2.35198363605435
7	120.962962962963	159.148148148148	202.907407407407	99.2592592592593	45.5374347715229	64.3828158544251	73.7530720425715	40.5585090499782	54	7	1	0	2
8	212.090909090909	295.818181818182	351.954545454546	171.454545454545	84.0454283164213	109.592956877709	98.0250342537555	41.8746205114172	22	7	1	0	2
9	340.526315789473	471.105263157894	586.526315789474	282.421052631579	161.213328501978	299.133897000778	353.431973831164	256.217357112475	19	7	1	0	2.31912574114949
10	702.428571428571	997.428571428571	1187.35714285714	561.642857142857	185.949589668703	276.867237210935	302.201513218972	200.087295999542	14	7	1	0	2
11	1146	1778.33333333333	2145	1137	34.0978982734518	112.19130487203	94.4351629426243	241.682987954607	3	7	1	0	2
