ID,X1,X2,Y1,Y2,DOMAINVALUE,LABEL,STRATO,WEIGHTS
5452,528,227,31,23,1,1,1,35.8888888888889
5907,233,398,11,50,1,1,1,35.8888888888889
5515,563,288,20,69,1,1,1,35.8888888888889
5723,1499,347,81,124,1,1,1,35.8888888888889
5672,137,284,6,54,1,1,1,35.8888888888889
5901,37,86,2,14,1,1,1,35.8888888888889
5484,565,544,21,62,1,1,1,35.8888888888889
5929,345,666,10,251,1,1,1,35.8888888888889
5863,295,111,8,21,1,1,1,35.8888888888889
6052,427,1369,34,271,1,2,2,15.6
6155,773,1438,30,826,1,2,2,15.6
5408,647,1032,28,381,1,2,2,15.6
6131,733,1286,22,931,1,2,2,15.6
6065,195,1456,7,360,1,2,2,15.6
6628,25688,477,207,47,1,3,3,8.14285714285714
5407,2998,1853,87,688,1,3,3,8.14285714285714
5883,2079,107,51,0,1,3,3,8.14285714285714
6086,383,2455,37,729,1,3,3,8.14285714285714
6025,3691,1045,80,199,1,3,3,8.14285714285714
5638,1900,371,54,27,1,3,3,8.14285714285714
6618,3033,274,66,23,1,3,3,8.14285714285714
5518,4281,666,67,89,1,3,3,8.14285714285714
5713,1963,429,81,60,1,3,3,8.14285714285714
6622,2171,285,110,40,1,3,3,8.14285714285714
5587,5182,981,142,189,1,3,3,8.14285714285714
6141,3312,2323,93,1175,1,3,3,8.14285714285714
5882,2601,1031,94,383,1,3,3,8.14285714285714
6217,3596,703,72,301,1,3,3,8.14285714285714
6082,3001,5513,139,1274,1,4,4,5.22222222222222
6153,13933,2864,221,1300,1,4,4,5.22222222222222
5414,4180,3208,54,1717,1,4,4,5.22222222222222
6033,659,6016,27,1430,1,4,4,5.22222222222222
6287,404,5453,10,537,1,4,4,5.22222222222222
6289,397,3018,12,685,1,4,4,5.22222222222222
5873,795,3255,26,1954,1,4,4,5.22222222222222
6282,226,3805,9,909,1,4,4,5.22222222222222
6006,574,4012,16,817,1,4,4,5.22222222222222
6192,281,9065,15,812,1,5,5,6
6011,78,8615,7,2103,1,5,5,6
6007,7515,10117,114,907,1,6,6,2.66666666666667
6231,570,11907,54,1566,1,6,6,2.66666666666667
6288,397,11022,13,452,1,6,6,2.66666666666667
6083,1522,20994,85,2529,1,7,7,2
6300,5988,24269,87,1022,1,7,7,2
6031,6536,28225,258,3541,1,8,8,1.5
6621,177964,1593,773,67,1,8,8,1.5
2262,1521,586,41,137,2,1,1,69.2857142857143
618,1322,602,28,141,2,1,1,69.2857142857143
2528,1047,152,27,29,2,1,1,69.2857142857143
2323,1041,410,24,65,2,1,1,69.2857142857143
881,448,465,18,76,2,1,1,69.2857142857143
752,283,334,8,282,2,1,1,69.2857142857143
6409,218,158,5,13,2,1,1,69.2857142857143
935,482,912,25,447,2,2,2,26.3636363636364
354,2736,1196,64,278,2,2,2,26.3636363636364
6471,718,1257,20,410,2,2,2,26.3636363636364
434,1127,2217,41,961,2,2,2,26.3636363636364
2621,1843,1032,42,519,2,2,2,26.3636363636364
2160,1657,1044,47,234,2,2,2,26.3636363636364
333,1669,1030,40,360,2,2,2,26.3636363636364
6785,739,820,24,318,2,2,2,26.3636363636364
2556,2810,1948,85,751,2,2,2,26.3636363636364
932,222,2044,7,778,2,2,2,26.3636363636364
959,546,790,20,168,2,2,2,26.3636363636364
2517,5810,563,95,151,2,3,3,21.6666666666667
546,9609,882,109,244,2,3,3,21.6666666666667
2495,3775,432,71,171,2,3,3,21.6666666666667
356,12571,763,247,163,2,4,4,8.5
768,12027,1672,251,488,2,4,4,8.5
579,624,5106,30,2441,2,5,5,11.5
761,879,3279,41,1252,2,5,5,11.5
908,1506,6202,58,3472,2,6,6,8
2299,1938,5928,76,2223,2,6,6,8
762,2054,12997,79,3890,2,7,7,4
781,272,11629,12,1771,2,7,7,4
784,936,12005,36,2326,2,7,7,4
584,2914,16456,118,2692,2,8,8,2.5
565,1137,13456,50,1502,2,8,8,2.5
2851,109,159,2,35,3,1,1,25.75
2890,151,194,3,108,3,1,1,25.75
4168,222,388,9,169,3,1,1,25.75
4198,896,351,25,85,3,1,1,25.75
4111,1369,474,32,273,3,2,2,8.4
2767,5508,299,102,57,3,2,2,8.4
4013,3195,288,61,88,3,2,2,8.4
4097,240,423,7,207,3,2,2,8.4
4026,3019,211,52,90,3,2,2,8.4
2882,603,651,16,260,3,3,3,11.8
4311,1298,639,33,225,3,3,3,11.8
4123,6650,490,98,120,3,3,3,11.8
4120,1348,527,31,176,3,3,3,11.8
4139,5511,639,92,152,3,3,3,11.8
4304,3241,689,64,250,3,4,4,6.375
4143,1219,865,38,249,3,4,4,6.375
4286,1268,710,45,293,3,4,4,6.375
4110,1052,787,22,440,3,4,4,6.375
4264,729,839,27,299,3,4,4,6.375
4222,1197,865,32,136,3,4,4,6.375
4040,9127,860,83,302,3,4,4,6.375
2855,405,718,17,247,3,4,4,6.375
4209,4815,962,109,281,3,5,5,5.2
2884,1390,964,30,383,3,5,5,5.2
4276,3910,891,94,387,3,5,5,5.2
4287,1789,1013,44,585,3,5,5,5.2
2821,1360,999,35,347,3,5,5,5.2
2703,20370,1086,302,276,3,6,6,4
4165,2808,1019,49,413,3,6,6,4
4181,1131,1125,31,609,3,7,7,6
4082,13329,1251,224,349,3,7,7,6
4224,942,1126,30,207,3,7,7,6
2829,12930,1821,205,1077,3,8,8,4.33333333333333
4169,2054,1418,49,638,3,8,8,4.33333333333333
4279,2741,1865,64,1180,3,8,8,4.33333333333333
2701,166558,2391,1023,97,3,9,9,1
