DOMAINVALUE,STRATO,NH_FRAME,NH_STRATA,PLANNED_UNITS,SELECTED_UNITS,SUM_OF_WGTS
1,1,312,312,8,8,312
1,2,78,78,5,5,78
1,3,58,58,6,6,58
1,4,66,66,7,7,66
1,5,27,27,3,3,27
1,6,19,19,5,5,19
1,7,16,16,4,4,16
1,8,9,9,3,3,9
1,9,1,1,1,1,1
1,10,3,3,2,2,3
2,1,251,251,2,2,251
2,2,169,169,2,2,169
2,3,139,139,3,3,139
2,4,120,120,3,3,120
2,5,85,85,3,3,85
2,6,81,81,4,4,81
2,7,33,33,4,4,33
2,8,25,25,2,2,25
2,9,10,10,3,3,10
3,1,89,89,4,4,89
3,2,148,148,8,8,148
3,3,37,37,5,5,37
3,4,27,27,4,4,27
3,5,19,19,3,3,19
3,6,1,1,1,1,1
