DOMAINVALUE,STRATO,NH_FRAME,NH_STRATA,PLANNED_UNITS,SELECTED_UNITS,SUM_OF_WGTS
1,1,215,215,2,2,215
1,2,14,14,2,2,14
1,3,16,16,2,2,16
1,4,125,125,2,2,125
1,5,49,49,3,3,49
1,6,36,36,7,7,36
1,7,14,14,5,5,14
1,8,3,3,3,3,3
1,9,65,65,3,3,65
1,10,52,52,3,3,52
2,1,308,308,3,3,308
2,2,51,51,2,2,51
2,3,56,56,2,2,56
2,4,28,28,2,2,28
2,5,5,5,2,2,5
2,6,4,4,2,2,4
2,7,13,13,2,2,13
2,8,2,2,2,2,2
2,9,5,5,2,2,5
2,10,21,21,3,3,21
2,11,5,5,2,2,5
2,12,1,1,1,1,1
2,13,2,2,2,2,2
2,14,210,210,3,3,210
2,15,94,94,3,3,94
2,16,60,60,2,2,60
2,17,48,48,3,3,48
3,1,41,41,2,2,41
3,2,9,9,2,2,9
3,3,10,10,2,2,10
3,4,1,1,1,1,1
3,5,19,19,3,3,19
3,6,2,2,2,2,2
3,7,106,106,2,2,106
3,8,95,95,3,3,95
3,9,38,38,2,2,38
4,1,34,34,2,2,34
4,2,13,13,2,2,13
4,3,20,20,2,2,20
4,4,22,22,3,3,22
4,5,3,3,3,3,3
4,6,48,48,2,2,48
4,7,31,31,2,2,31
5,1,103,103,2,2,103
5,2,23,23,2,2,23
5,3,9,9,2,2,9
5,4,21,21,2,2,21
5,5,20,20,2,2,20
5,6,10,10,2,2,10
5,7,14,14,2,2,14
5,8,9,9,2,2,9
5,9,7,7,2,2,7
5,10,8,8,2,2,8
5,11,8,8,4,4,8
5,12,1,1,1,1,1
5,13,85,85,5,5,85
5,14,74,74,4,4,74
5,15,36,36,2,2,36
5,16,43,43,4,4,43
6,1,30,30,2,2,30
6,2,21,21,2,2,21
6,3,1,1,1,1,1
6,4,11,11,2,2,11
6,5,14,14,13,13,14
6,6,10,10,2,2,10
6,7,43,43,2,2,43
6,8,37,37,3,3,37
6,9,19,19,2,2,19
7,1,87,87,2,2,87
7,2,58,58,2,2,58
7,3,12,12,2,2,12
7,4,8,8,4,4,8
7,5,2,2,2,2,2
7,6,24,24,2,2,24
7,7,26,26,2,2,26
7,8,13,13,2,2,13
7,9,15,15,3,3,15
