DOMAINVALUE,STRATO,NH_FRAME,NH_STRATA,PLANNED_UNITS,SELECTED_UNITS,SUM_OF_WGTS
1,1,222,222,4,4,222
1,2,97,97,3,3,97
1,3,81,81,7,7,81
1,4,72,72,6,6,72
1,5,26,26,3,3,26
1,6,30,30,5,5,30
1,7,14,14,3,3,14
1,8,18,18,6,6,18
1,9,24,24,3,3,24
1,10,5,5,3,3,5
2,1,477,477,7,7,477
2,2,188,188,6,6,188
2,3,161,161,7,7,161
2,4,26,26,3,3,26
2,5,27,27,2,2,27
2,6,11,11,3,3,11
2,7,12,12,2,2,12
2,8,11,11,4,4,11
3,1,96,96,3,3,96
3,2,112,112,6,6,112
3,3,53,53,3,3,53
3,4,28,28,3,3,28
3,5,12,12,2,2,12
3,6,19,19,3,3,19
3,7,1,1,1,1,1
