STRATO	N	M1	S1	COST	CENS	DOM1	X1	X2	X3
1*1*1	1	1.29314992710756	1.36363648134779	1	0	1	1	1	1
1*2*1	6	0.790258288787954	1.07803986706767	1	0	1	1	2	1
1*2*2	8	0.808218704442226	1.10858631828887	1	0	1	1	2	2
1*2*3	2	0.862099951405041	1.11340452464878	1	0	1	1	2	3
1*3*1	2	1.0776249392563	1.2633440009648	1	0	1	1	3	1
1*3*2	3	0.718416626170867	1.03650751347543	1	0	1	1	3	2
1*3*3	12	1.25722909579902	1.46004054340253	1	0	1	1	3	3
1*3*4	3	1.14946660187339	1.34835159767299	1	0	1	1	3	4
1*4*3	5	1.29314992710756	1.4170912879928	1	0	1	1	4	3
1*4*4	4	1.40091242103319	1.4636268184783	1	0	1	1	4	4
1*5*3	1	0.43104997570252	0.787295889582938	1	0	1	1	5	3
1*5*4	2	0.862099951405041	1.11340452464878	1	0	1	1	5	4
1*6*4	1	1.72419990281008	1.57459177916588	1	0	1	1	6	4
2*1*2	1	4.3104997570252	2.48964820357052	1	0	1	2	1	2
2*1*3	4	4.84931222665336	2.73358558836351	1	0	1	2	1	3
2*1*4	13	5.07312663711428	2.74893505353198	1	0	1	2	1	4
2*1*5	8	5.87305591894684	3.01540386823433	1	0	1	2	1	5
2*1*6	1	6.03469965983529	2.94579148083476	1	0	1	2	1	6
2*2*4	8	6.14246215376092	3.06999945650612	1	0	1	2	2	4
2*2*5	8	5.98081841287247	2.95185237749719	1	0	1	2	2	5
2*2*6	5	6.46574963553781	3.08552866850668	1	0	1	2	2	6
2*3*5	2	6.89679961124033	3.14918355833175	1	0	1	2	3	5
3*1*2	1	7.32784958694285	3.24610411136507	1	0	1	3	1	2
3*1*4	5	8.79341950433142	3.64469427013135	1	0	1	3	1	4
3*1*5	9	7.71100512090064	3.5135738332488	1	0	1	3	1	5
3*1*6	4	8.62099951405041	3.61206459528616	1	0	1	3	1	6
3*2*4	1	7.75889956264537	3.34021357394634	1	0	1	3	2	4
3*2*5	9	8.38152730532679	3.56037615599311	1	0	1	3	2	5
3*2*6	13	9.11836487063024	3.75986188645271	1	0	1	3	2	6
3*3*5	3	10.3451994168605	3.87297108352265	1	0	1	3	3	5
3*3*6	3	10.2015160916263	3.91536214858775	1	0	1	3	3	6
3*4*6	2	9.05204948975293	3.63350178951258	1	0	1	3	4	6
