id	X1	X2	X3	X4	X5	X6	Y1	Y2	Y3	Y4	domainvalue
Zurich	18	3	2	1	3	3	57324	131422	108178	66349	4
Geneve	17	1	1	1	3	2	32429	60074	57063	28398	1
Basel	17	1	1	1	3	3	28161	50349	53734	34314	3
Bern	17	2	3	1	3	3	19399	44263	39397	25575	2
Lausanne	17	2	2	1	3	2	24291	44202	35421	21000	1
Winterthur	16	3	3	1	3	3	18942	28958	27696	14887	4
St.Gallen	16	2	3	1	3	3	14337	24309	21334	12646	5
Luzern	16	1	1	1	2	2	9533	18843	18177	12943	6
Biel (BE)	15	2	1	1	2	3	9127	14825	15140	9563	2
Thun	15	1	2	1	2	3	8128	11265	13301	7683	2
Koniz	15	2	3	1	2	2	7861	10452	12892	6577	2
La Chaux-de-Fonds	15	2	3	2	2	2	8319	10551	11258	6888	2
Fribourg	15	1	1	1	2	2	6862	13231	10142	5312	2
Schaffhausen	15	2	2	1	2	3	6957	9343	10940	6388	5
Chur	15	2	2	1	2	2	6883	10287	10581	5238	5
Neuchatel	15	2	1	1	2	2	6356	11204	9576	5778	2
Vernier	14	1	1	1	2	2	7519	8926	9493	3621	1
Uster	14	2	3	1	2	2	6341	9001	9564	3665	4
Sion	14	1	3	1	2	3	6732	7998	8492	3949	1
Emmen	14	1	2	1	2	3	6621	7924	8608	3732	6
Lugano	14	2	1	1	2	1	4337	7846	8554	5823	7
Lancy	14	1	1	1	2	2	5797	7681	8429	3781	1
Kriens	14	2	2	1	2	2	5656	7082	8108	3896	6
Yverdon-les-Bains	14	1	2	1	2	2	5796	7279	7126	4175	1
Zug	14	2	2	1	2	2	4343	7093	7667	3870	6
Montreux	14	2	1	1	2	1	4790	6615	6931	4118	1
Dubendorf	14	1	2	1	2	2	4241	7531	7485	2959	4
Frauenfeld	14	2	3	1	2	3	5088	6671	6976	3219	5
Dietikon	14	1	1	1	2	2	4549	6828	6990	2986	4
Riehen	13	1	1	1	2	1	4039	4191	7097	5043	3
Meyrin	13	1	2	1	2	2	4424	5800	7121	2203	1
Wadenswil	13	1	2	1	2	2	4274	5808	6682	2700	4
Baar	13	2	3	1	2	2	4323	6496	6307	2281	6
Renens (VD)	13	1	1	1	2	2	4116	6224	5696	2370	1
Reinach (BL)	13	1	1	1	2	2	3554	4835	6849	3085	3
Allschwil	13	1	1	1	2	2	3284	4875	6506	3466	3
Wetzikon (ZH)	13	1	2	1	2	2	4185	5388	5844	2712	4
Wettingen	13	1	1	1	2	1	3436	5363	5866	3205	3
Carouge (GE)	13	1	1	1	1	2	3772	6102	5354	2362	1
Horgen	13	2	2	1	2	2	3600	5226	5949	2657	4
Kloten	13	1	2	1	2	2	3297	5984	5755	2154	4
Kreuzlingen	13	1	1	1	2	2	3758	5074	5564	2722	5
Jona	13	2	2	1	2	2	4017	5001	5939	1990	5
Gossau (SG)	13	1	3	1	2	2	4165	5007	5235	2398	5
Olten	13	1	1	1	2	3	3094	5008	5037	3618	2
Muttenz	13	2	1	1	2	3	3502	4113	5939	3100	3
Bellinzona	13	2	1	1	2	2	3170	4709	5432	3152	7
Onex	13	1	1	1	2	1	3716	4854	5449	2400	1
Wil (SG)	13	1	1	1	2	2	3475	4915	5203	2799	5
Baden	13	2	1	1	2	2	3211	5656	5191	2212	3
Vevey	13	1	1	1	2	1	3541	5207	4713	2741	1
Nyon	13	1	1	1	2	2	3747	5276	5183	1976	1
Pully	13	1	1	1	2	1	3107	4066	5705	3156	1
Grenchen	13	2	2	1	2	2	3233	4118	5183	3404	2
Littau	13	1	2	1	2	2	3962	4998	5098	1871	6
Herisau	13	2	3	1	2	2	3804	4487	5049	2542	5
Adliswil	13	1	1	1	2	1	3193	4735	5464	2430	4
Thalwil	13	1	1	1	2	1	2973	4697	5664	2471	4
Solothurn	13	1	1	1	2	2	2926	4512	4886	3165	2
Aarau	13	1	1	1	2	2	2855	4718	4923	2974	3
Ostermundigen	13	1	1	1	2	1	3041	4619	5444	2348	2
Regensdorf	12	1	2	1	2	2	3280	5040	5176	1602	4
Pratteln	12	1	1	1	2	3	3198	4302	5256	2148	3
Burgdorf	12	2	2	1	2	2	3119	4070	4707	2818	2
Locarno	12	2	2	1	2	2	2929	4166	4730	2736	7
Illnau-Effretikon	12	2	3	1	2	2	2916	4598	5068	1909	4
Martigny	12	2	2	1	2	3	3419	4288	4522	2132	1
Steffisburg	12	1	2	1	2	2	3081	4009	4644	2615	2
Sierre	12	1	2	1	2	3	3156	3943	4918	2300	1
Morges	12	1	1	1	2	1	2940	4388	4408	2418	1
Langenthal	12	2	1	1	2	2	3154	3982	4457	2485	2
Volketswil	12	1	2	1	2	2	3333	4796	4893	1048	4
Bulach	12	2	2	1	2	2	3229	4295	4770	1705	4
Binningen	12	1	1	1	2	1	2510	3692	4950	2825	3
Monthey	12	2	1	1	2	3	3359	4170	4509	1895	1
Schwyz	12	3	3	2	2	2	3537	4144	4172	1949	6
Schlieren	12	1	1	1	2	2	2685	4430	4147	2094	4
Wohlen (AG)	12	1	2	1	2	2	3303	3862	4284	1880	3
Cham	12	1	3	1	2	2	3178	4243	4316	1422	6
Freienbach	12	1	2	1	2	2	2963	4174	4432	1486	6
Liestal	12	2	1	1	2	2	2781	3932	4153	2064	3
Arbon	12	1	1	1	2	2	3043	3643	4002	2218	5
Horw	12	1	2	1	2	1	2568	3828	4190	2062	6
Einsiedeln	12	3	3	2	2	2	3211	3628	3964	1819	6
Muri bei Bern	12	1	1	1	2	1	2288	2725	4977	2581	2
Kusnacht (ZH)	12	1	2	1	2	1	2212	2964	4409	2899	4
Thonex	12	1	1	1	2	1	3057	3156	4116	1812	1
Opfikon	12	1	1	1	2	1	2238	4225	3984	1615	4
Spiez	12	1	2	1	2	2	2663	3083	3960	2321	2
Uzwil	12	1	2	1	2	2	3246	3353	3755	1623	5
Wallisellen	12	1	1	1	2	2	2281	3620	4064	1974	4
Munchenstein	11	1	1	1	2	2	2440	3030	3888	2344	3
Zollikon	11	1	1	1	2	1	1931	2847	4047	2837	4
Brig-Glis	11	2	1	1	2	2	2836	3353	3692	1709	1
Stafa	11	1	2	1	2	1	2397	3037	4258	1875	4
Meilen	11	1	2	1	2	1	2168	3143	4093	2076	4
Davos	11	3	3	3	2	1	2537	3630	3805	1445	5
Amriswil	11	1	3	1	2	2	3008	3283	3378	1688	5
Delemont	11	2	2	1	2	2	2481	3189	3691	1992	2
Ebikon	11	1	1	1	2	1	2940	3183	3840	1359	6
Bulle	11	1	2	1	2	2	2812	3445	3253	1639	2
Ittigen	11	1	1	1	2	2	2168	3066	4135	1622	2
Prilly	11	1	1	1	2	1	2032	3311	3458	2154	1
Munsingen	11	1	2	1	2	1	2503	2863	3886	1685	2
Worb	11	1	3	1	2	1	2456	2927	3992	1520	2
Ruti (ZH)	11	1	1	1	2	2	2571	3212	3430	1591	4
Kussnacht am Rigi	11	2	3	1	2	2	2707	3168	3406	1423	6
Rheinfelden	11	2	2	1	2	2	2378	3266	3504	1525	3
Lyss	11	1	2	1	2	2	2536	3374	3439	1310	2
Le Locle	11	2	2	1	2	1	2369	2678	3299	2183	2
Birsfelden	11	1	1	1	1	2	1724	3101	3450	2154	3
Buchs (SG)	11	1	2	1	2	2	2464	3143	3303	1489	5
Altstatten	11	2	3	1	2	2	2734	2951	3168	1528	5
Richterswil	11	1	2	1	2	1	2461	2817	3668	1408	4
Affoltern am Albis	11	1	2	1	2	2	2602	3076	3365	1271	4
Versoix	11	1	1	1	2	1	2914	2785	3451	1159	1
Oftringen	11	1	2	1	2	2	2343	3055	3432	1475	3
La Tour-de-Peilz	11	1	1	1	2	1	2093	2625	3450	2062	1
Ecublens (VD)	11	1	1	1	2	2	2320	3548	3309	1050	1
Neuhausen am Rheinfall	11	1	1	1	2	2	2044	2624	3340	1951	5
Chene-Bougeries	11	1	1	1	2	1	2209	2208	3434	1908	1
Aesch (BL)	11	1	1	1	2	2	2241	2791	3443	1260	3
Gland	11	1	2	1	2	2	2716	3418	2923	606	1
Munchenbuchsee	11	1	2	1	2	2	2411	2876	3272	1050	2
Arth	11	3	3	2	2	2	2555	2870	2832	1336	6
Pfaffikon	11	1	2	1	2	2	2256	2775	3172	1389	4
Weinfelden	11	1	2	1	2	2	2104	2732	2911	1709	5
